SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
3511,421,119,Tuition,2,13,"TUITION FEE"
3512,421,119,"Exam fee",NULL,NULL,NULL
3513,421,119,Diction,74,13,DICTION
3514,421,119,Stationery,13,16,STATIONERY
3507,427,119,"School uniform (2 pair)",NULL,NULL,NULL
3508,427,119,"Sports wear",NULL,NULL,NULL
3509,427,119,Cardigan,NULL,NULL,NULL
3515,421,119,Textbooks,11,16,TEXTBOOKS
3516,421,119,Registration,1,13,"REGISTRATION FEE"
3517,428,119,"Term Activity",NULL,NULL,NULL
3518,428,119,Coding,40,8,"CODING AND PROGRAMMING"
3519,428,119,E-learning,NULL,NULL,NULL
3520,428,119,Music,7,5,"MUSIC LESSONS"
3528,428,119,Transport,NULL,NULL,NULL
3529,427,119,Badge,NULL,NULL,NULL
3530,427,119,Tie,32,15,"RESIDENTIAL ACTIVITIES"
