SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
3274,325,102,TUITION,2,13,"TUITION FEE"
3275,325,102,DICTION,74,13,DICTION
3270,329,102,"STEAM CLUB",NULL,NULL,NULL
3271,329,102,"MUSIC CLUB",51,6,"MUSIC CLUB"
3272,329,102,"FRENCH CLUB",84,6,"FRENCH CLUB"
3273,329,102,"DANCE CLUB",79,6,"DANCE CLUB"
3276,325,102,LESSON,7,5,"MUSIC LESSONS"
3277,326,102,"GRADE 1",NULL,NULL,NULL
3278,326,102,"GRADE 2",NULL,NULL,NULL
3279,326,102,"GRADE 3",NULL,NULL,NULL
3280,326,102,"GRADE 4",NULL,NULL,NULL
3281,326,102,"GRADE 5",NULL,NULL,NULL
3282,326,102,"NURSERY 1",NULL,NULL,NULL
3283,326,102,"NURSERY 2",NULL,NULL,NULL
3284,326,102,PRESCHOOL,NULL,NULL,NULL
3285,326,102,PLAYGROUP,NULL,NULL,NULL
3286,331,102,TOILETRIES,NULL,NULL,NULL
3287,327,102,UNIFORM,62,4,UNIFORM
3288,330,102,PORTAL,66,13,"PORTAL FEE"
3289,328,102,FORM,44,8,"ONLINE LEARNING PLATFORMS"
