SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
194,60,47,"Data subscription",NULL,NULL,NULL
230,67,47,officer,NULL,NULL,NULL
193,60,47,Startimes,NULL,NULL,NULL
188,64,47,"Haice ABC 216XK",NULL,NULL,NULL
189,64,47,"Hyundai ABC 219AA",NULL,NULL,NULL
232,105,47,"Kid monitor",NULL,NULL,NULL
231,67,47,S.O,NULL,NULL,NULL
252,63,47,"fuel consumption",NULL,NULL,NULL
253,66,47,"carpenter works ",NULL,NULL,NULL
236,85,47,"Registration ",1,13,"REGISTRATION FEE"
235,92,47,"Registration fee",1,13,"REGISTRATION FEE"
234,92,47,"Termly Renewal",NULL,NULL,NULL
233,81,47,"uniform material",NULL,NULL,NULL
255,112,47,"p.t.a Refreshment",NULL,NULL,NULL
61,31,47,Tuition,2,13,"TUITION FEE"
62,31,47,"Caution Fee",72,14,"CAUTION FEE"
63,31,47,Form,44,8,"ONLINE LEARNING PLATFORMS"
64,31,47,Books,11,16,TEXTBOOKS
65,31,47,"PTA Levy",NULL,NULL,NULL
66,31,47,Examination,3,13,"EXAMINATION FEE"
67,31,47,Uniform,62,4,UNIFORM
68,32,47,Shorts,NULL,NULL,NULL
69,32,47,"Short sleeve shirts",NULL,NULL,NULL
70,32,47,Cardigan,NULL,NULL,NULL
71,32,47,"sports wear",NULL,NULL,NULL
72,33,47,"After school care",75,5,"AFTER SCHOOL CARE"
73,33,47,"School lesson",NULL,NULL,NULL
74,34,47,Ballet,NULL,NULL,NULL
75,34,47,Music,7,5,"MUSIC LESSONS"
76,34,47,"Taekwando ",NULL,NULL,NULL
77,34,47,Chess,81,5,"CHESS AND SCRABBLE"
78,34,47,"Readers Club",114,6,"READERS CLUB"
79,34,47,"French Club",84,6,"FRENCH CLUB"
80,32,47,"Friday Wears",60,4,"FRIDAY WEARS"
81,34,47,"Coding and Robotics",NULL,NULL,NULL
229,72,47,"Nepa bills",NULL,NULL,NULL
228,31,47,"Biometric Device",NULL,NULL,NULL
187,64,47,"Haice ABC 526ZY",NULL,NULL,NULL
254,112,47,"p.t.a expenses",NULL,NULL,NULL
150,31,47,"Capital Levy",NULL,NULL,NULL
151,56,47,"Karu 2 Ways",NULL,NULL,NULL
152,56,47,"Karu  1 way",NULL,NULL,NULL
153,56,47,"City College 2ways",NULL,NULL,NULL
154,56,47,"city college 1 way",NULL,NULL,NULL
155,56,47,"Nyanya 1 Way",NULL,NULL,NULL
156,56,47,"Nyanya 2 ways",NULL,NULL,NULL
157,56,47,"Jikwoyi/Kpegyi 1 way",NULL,NULL,NULL
158,56,47,"Jikwoyi/Kpegyi 2 ways",NULL,NULL,NULL
159,56,47,"Ajanta/Kurudu 1 Way",NULL,NULL,NULL
160,56,47,"Ajanta/Kurudu 2 ways",NULL,NULL,NULL
161,56,47,"Karu Village 1 way",NULL,NULL,NULL
162,56,47,"Karu Village 2 ways",NULL,NULL,NULL
163,56,47,"Nyanya/Aso C 1 Way",NULL,NULL,NULL
164,56,47,"Nyanya/Aso C 2 Ways",NULL,NULL,NULL
165,56,47,"Town 1 way",NULL,NULL,NULL
166,56,47,"Town 2 ways",NULL,NULL,NULL
2878,71,47,"casting of school entrance",NULL,NULL,NULL
195,114,47,"Haice ABC 526ZY",NULL,NULL,NULL
196,114,47,"Haice ABJ 216XK",NULL,NULL,NULL
197,114,47,"Hyundai ABC 219AA",NULL,NULL,NULL
198,117,47,"Washing machine",NULL,NULL,NULL
199,73,47,"l.G washing machine",NULL,NULL,NULL
259,73,47,"computer system",NULL,NULL,NULL
201,118,47,C-way,NULL,NULL,NULL
202,118,47,"Water Board",NULL,NULL,NULL
203,118,47,"Swam Water",NULL,NULL,NULL
204,118,47,"Water Bills",NULL,NULL,NULL
205,72,47,"Electrical works",NULL,NULL,NULL
206,72,47,Bulbs,NULL,NULL,NULL
207,119,47,"Plumbing labour",NULL,NULL,NULL
208,62,47,"Recharge card",NULL,NULL,NULL
209,62,47,Data,NULL,NULL,NULL
210,81,47,"Uniform Repairs",NULL,NULL,NULL
211,81,47,"Sport wear",61,4,"SPORT WEARS"
212,81,47,T-Shirt,NULL,NULL,NULL
213,81,47,Shorts,NULL,NULL,NULL
214,83,47,Access,NULL,NULL,NULL
215,83,47,Rasmed,NULL,NULL,NULL
216,83,47,"Evans Brothers",NULL,NULL,NULL
217,105,47,Installation,NULL,NULL,NULL
218,105,47,Data,NULL,NULL,NULL
237,85,47,"New intake",NULL,NULL,NULL
238,70,47,"Mr Tai",NULL,NULL,NULL
239,105,47,"Speed limit device",NULL,NULL,NULL
241,131,47,"Inter- House venue",NULL,NULL,NULL
242,131,47,Refreshment,NULL,NULL,NULL
243,131,47,outfits,NULL,NULL,NULL
244,131,47,"small chops",NULL,NULL,NULL
