SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
3435,397,100,PTA,24,14,"PTA (PARENT-TEACHER ASSOCIATION) FEE"
3433,396,100,Tuition,2,13,"TUITION FEE"
3434,397,100,Exam/Result,NULL,NULL,NULL
3436,397,100,Sanitory,NULL,NULL,NULL
3437,397,100,Practical,112,21,PRACTICAL
3438,397,100,Lesson,7,5,"MUSIC LESSONS"
3574,452,100," answer script",NULL,NULL,NULL
3580,420,100,Registration,1,13,"REGISTRATION FEE"
3441,399,100,Ballet,NULL,NULL,NULL
3442,399,100,Music,7,5,"MUSIC LESSONS"
3443,399,100,Bakery/Cooking,NULL,NULL,NULL
3444,399,100,Maths,NULL,NULL,NULL
3445,399,100,Reading,NULL,NULL,NULL
3446,399,100,"Craft ",NULL,NULL,NULL
3447,399,100,ICT,74,13,DICTION
3531,443,100,"Staff Salary",NULL,NULL,NULL
3538,397,100,"Graduation ",21,18,"GRADUATION CEREMONY"
3539,397,100,"Certificate exam ",NULL,NULL,NULL
3540,444,100,Notes,NULL,NULL,NULL
3541,444,100,papers,NULL,NULL,NULL
3542,444,100,pens,NULL,NULL,NULL
3543,444,100,pencils,NULL,NULL,NULL
3544,444,100," markers",NULL,NULL,NULL
3545,444,100," eraser",NULL,NULL,NULL
3546,444,100,ink,NULL,NULL,NULL
3547,444,100,topbond,NULL,NULL,NULL
3548,444,100,ruler,NULL,NULL,NULL
3549,444,100,gum,NULL,NULL,NULL
3550,444,100,files,NULL,NULL,NULL
3551,444,100," pin",NULL,NULL,NULL
3552,444,100," stapler",NULL,NULL,NULL
3553,444,100," correction pen",NULL,NULL,NULL
3582,420,100," development",NULL,NULL,NULL
3578,453,100,Purchase,NULL,NULL,NULL
3579,453,100," mentainance ",NULL,NULL,NULL
3581,420,100," uniform",NULL,NULL,NULL
3577,446,100,Car,37,7,"EMERGENCY MEDICAL CARE"
3576,446,100,Gen,37,7,"EMERGENCY MEDICAL CARE"
3575,452,100,"exam questions",NULL,NULL,NULL
3573,452,100," question paper",NULL,NULL,NULL
3572,452,100," communication book",NULL,NULL,NULL
3571,452,100," exercise books",NULL,NULL,NULL
3570,452,100,"Text books",NULL,NULL,NULL
3568,447,100,Purchase,NULL,NULL,NULL
3569,447,100," maintenance ",NULL,NULL,NULL
3583,454,100,"Pay rent ",NULL,NULL,NULL
3584,455,100,Grass,NULL,NULL,NULL
3585,455,100," fumigation",NULL,NULL,NULL
3586,455,100," painting",NULL,NULL,NULL
3587,455,100,decoration,NULL,NULL,NULL
3588,456,100,Association,24,14,"PTA (PARENT-TEACHER ASSOCIATION) FEE"
3589,456,100," AMAC",NULL,NULL,NULL
3590,456,100," Tax",NULL,NULL,NULL
3591,445,100,Repairs,NULL,NULL,NULL
3592,445,100,"Maintenance ",NULL,NULL,NULL
3593,457,100,Buckets,NULL,NULL,NULL
3594,457,100," detergent",NULL,NULL,NULL
3595,457,100," cleaning materials",NULL,NULL,NULL
3596,457,100," potty",NULL,NULL,NULL
3597,457,100,carpet,NULL,NULL,NULL
3598,457,100,detol,NULL,NULL,NULL
3599,457,100," bleach",NULL,NULL,NULL
3600,457,100," air freshener ",NULL,NULL,NULL
3734,431,100,sanitory,NULL,NULL,NULL
3735,486,100,"Books and stationaries",NULL,NULL,NULL
3750,498,100,"New intake",NULL,NULL,NULL
