SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
3931,517,128,"CAREER DAY",NULL,NULL,NULL
3932,517,128," CULTURAL DAY",NULL,NULL,NULL
3933,517,128," GRADUATION",NULL,NULL,NULL
3934,517,128," PARTY",125,14,"TRANSITING  PARTY"
3935,509,128,MEDICALS,NULL,NULL,NULL
3936,509,128," PTA",NULL,NULL,NULL
3937,509,128," EXAMS",NULL,NULL,NULL
3938,509,128," SECURITY",43,8,"IT SECURITY"
3939,509,128," WATER",NULL,NULL,NULL
3940,509,128," ICT",NULL,NULL,NULL
3941,509,128," LIBRARY",NULL,NULL,NULL
3942,509,128," MAINTENANCE",NULL,NULL,NULL
3943,509,128," OTHERS",NULL,NULL,NULL
3944,507,128,TUITION,2,13,"TUITION FEE"
3950,522,128,"1ST UNIFORM",NULL,NULL,NULL
3947,521,128,TEXTBOOKS,11,16,TEXTBOOKS
3948,521,128," WORKBOOKS",NULL,NULL,NULL
3949,521,128," NOTEBOOKS",NULL,NULL,NULL
3951,522,128," 2ND UNIFORM",NULL,NULL,NULL
3952,522,128," SCHOOL POLO",NULL,NULL,NULL
3953,522,128," CAP",NULL,NULL,NULL
3954,522,128," SPORTS WEAR",NULL,NULL,NULL
3955,522,128," CARDIGAN",NULL,NULL,NULL
3956,522,128," SOCKS",105,4,"BRANDED SOCKS"
3957,522,128," TIES",NULL,NULL,NULL
