SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
3254,236,81,"FAMILY DISCOUNT",128,13,"FAMILY DISCOUNT"
3253,236,81,"STAFF KIDS TUITION",NULL,NULL,NULL
3252,256,81,"ROUTE 5",89,2,"ROUTE 5"
3251,256,81,"ROUTE 4",88,2,"ROUTE 4"
3256,256,81,"ROUTE 6",90,2,"ROUTE 6"
2893,236,81,"TUITION FEE",2,13,"TUITION FEE"
2894,236,81," REGISTRATION",NULL,NULL,NULL
2895,256,81,"ROUTE 3",87,2,"ROUTE 3"
2896,256,81," ROUTE 1",NULL,NULL,NULL
2897,256,81," ROUTE 2",NULL,NULL,NULL
3255,236,81,"FAMILY DISCOUNT 1",NULL,NULL,NULL
3258,236,81,"REGISTRATION 2",NULL,NULL,NULL
3400,236,81,"2ND TERM REGISTRATION [P.G]",NULL,NULL,NULL
3533,256,81,"ROUTE 7",NULL,NULL,NULL
3534,256,81,"ROUTE 8",NULL,NULL,NULL
3647,256,81,"EXTRA BUS ROUTE 1",NULL,NULL,NULL
3648,256,81,"EXTRA BUS ROUTE 2",NULL,NULL,NULL
3976,526,81,"WAEC/NECO FEE 2024",NULL,NULL,NULL
3977,526,81,"BECE FEE 2024",NULL,NULL,NULL
3978,526,81,"C.E/FSLC 2024",NULL,NULL,NULL
