SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
2881,246,79,"HOSTEL FEES ",NULL,NULL,NULL
2880,246,79,"REGISTRATION ",1,13,"REGISTRATION FEE"
2879,246,79,"TUITION ",2,13,"TUITION FEE"
2930,267,79,REGISTRATION,1,13,"REGISTRATION FEE"
2929,260,79," TUITION",129,13,"STAFF'S KID TUITION"
2928,260,79,REGISTRATION,1,13,"REGISTRATION FEE"
2899,247,79,TUITION,2,13,"TUITION FEE"
2900,247,79,REGISTRATION,1,13,"REGISTRATION FEE"
2901,247,79,HOSTEL,NULL,NULL,NULL
2902,248,79,TUITION,2,13,"TUITION FEE"
2903,248,79,REGISTRATION,1,13,"REGISTRATION FEE"
2904,248,79,HOSTEL,NULL,NULL,NULL
2905,249,79,TUITION,2,13,"TUITION FEE"
2906,249,79,REGISTRATION,1,13,"REGISTRATION FEE"
2907,249,79,HOSTEL,NULL,NULL,NULL
2908,250,79,TUITION,2,13,"TUITION FEE"
2909,250,79,REGISTRATION,1,13,"REGISTRATION FEE"
2910,250,79,HOSTEL,NULL,NULL,NULL
3081,251,79,TUITION,2,13,"TUITION FEE"
2912,251,79,REGISTRATION,1,13,"REGISTRATION FEE"
2913,251,79,HOSTEL,NULL,NULL,NULL
2914,252,79,TUITION,2,13,"TUITION FEE"
2915,252,79,REGISTRATION,1,13,"REGISTRATION FEE"
2916,252,79,HOSTEL,NULL,NULL,NULL
2917,253,79,TUITION,2,13,"TUITION FEE"
2918,253,79,REGISTRATION,1,13,"REGISTRATION FEE"
2919,253,79,HOSTEL,NULL,NULL,NULL
2920,257,79,TUITION,2,13,"TUITION FEE"
2921,257,79," REGISTRATION",NULL,NULL,NULL
2922,257,79," HOSTEL",NULL,NULL,NULL
2923,258,79,TUITION,2,13,"TUITION FEE"
2924,258,79," REGISTRATION",NULL,NULL,NULL
2925,258,79," HOSTEL",NULL,NULL,NULL
2926,259,79,REGISTRATION,1,13,"REGISTRATION FEE"
2927,259,79," TUITION",129,13,"STAFF'S KID TUITION"
2931,267,79," TUITION",129,13,"STAFF'S KID TUITION"
2932,265,79,REGISTRATION,1,13,"REGISTRATION FEE"
2933,265,79," TUITION",129,13,"STAFF'S KID TUITION"
2934,266,79,REGISTRATION,1,13,"REGISTRATION FEE"
2935,266,79," TUITION",129,13,"STAFF'S KID TUITION"
2936,263,79,REGISTRATION,1,13,"REGISTRATION FEE"
2937,263,79," TUITION",129,13,"STAFF'S KID TUITION"
2938,264,79,REGISTRATION,1,13,"REGISTRATION FEE"
2939,264,79," TUITION",129,13,"STAFF'S KID TUITION"
2940,261,79,REGISTRATION,1,13,"REGISTRATION FEE"
2941,261,79," TUITION",129,13,"STAFF'S KID TUITION"
2942,262,79,REGISTRATION,1,13,"REGISTRATION FEE"
2943,262,79," TUITION",129,13,"STAFF'S KID TUITION"
2944,268,79,TUITION,2,13,"TUITION FEE"
2945,268,79," REGISTRATION",NULL,NULL,NULL
2946,268,79,"REG HOSTEL",NULL,NULL,NULL
2947,269,79,TUITION,2,13,"TUITION FEE"
2948,269,79," REGISTRATION",NULL,NULL,NULL
2949,269,79,"REG HOSTEL",NULL,NULL,NULL
2950,270,79,TUITION,2,13,"TUITION FEE"
2951,270,79," REGISTRATION",NULL,NULL,NULL
2952,270,79,"REG HOSTEL",NULL,NULL,NULL
2953,272,79,TUITION,2,13,"TUITION FEE"
2954,272,79," REGISTRATION",NULL,NULL,NULL
2955,272,79,"REG HOSTEL",NULL,NULL,NULL
2956,273,79,TUITION,2,13,"TUITION FEE"
2957,273,79," REGISTRATION",NULL,NULL,NULL
2958,273,79,"REG HOSTEL",NULL,NULL,NULL
2959,271,79,TUITION,2,13,"TUITION FEE"
2960,271,79," REGISTRATION",NULL,NULL,NULL
2961,271,79,"REG HOSTEL",NULL,NULL,NULL
2962,275,79,TUITION,2,13,"TUITION FEE"
2963,275,79," REGISTRATION",NULL,NULL,NULL
2964,275,79," REG HOSTEL",NULL,NULL,NULL
2965,276,79,TUITION,2,13,"TUITION FEE"
2966,276,79," REGISTRATION",NULL,NULL,NULL
2967,276,79,"REG HOSTEL",NULL,NULL,NULL
2968,274,79,TUITION,2,13,"TUITION FEE"
2969,274,79," REGISTRATION",NULL,NULL,NULL
2970,274,79,"REG HOSTEL",NULL,NULL,NULL
2971,279,79,TUITION,2,13,"TUITION FEE"
