SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
2863,238,80,"Tuition ",2,13,"TUITION FEE"
2864,238,80,"Registration ",1,13,"REGISTRATION FEE"
3234,311,80,"Route 5",89,2,"ROUTE 5"
3233,311,80,"Route 4",88,2,"ROUTE 4"
3232,311,80,"Route 3",87,2,"ROUTE 3"
3231,311,80,"Route 2",86,2,"ROUTE 2"
3229,290,80,"TRANSPORT 4",NULL,NULL,NULL
3228,290,80,"TRANSPORT 3",NULL,NULL,NULL
3085,290,80,"TRANSPORT 1",NULL,NULL,NULL
3086,290,80,"TRANSPORT 2",NULL,NULL,NULL
3230,311,80,"Route 1",85,2,"ROUTE 1"
3920,311,80,"Route.    6",NULL,NULL,NULL
3190,238,80,"Transport ",NULL,NULL,NULL
