SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
3921,479,130,"Route 6",90,2,"ROUTE 6"
3703,479,130,"Route 1",85,2,"ROUTE 1"
3704,479,130," Route 2",NULL,NULL,NULL
3705,479,130," Route 3",NULL,NULL,NULL
3706,478,130,REGISTRATION,1,13,"REGISTRATION FEE"
3707,478,130," TUITION",129,13,"STAFF'S KID TUITION"
3708,478,130," HOSTEL REG",NULL,NULL,NULL
3709,478,130," HOSTEL FEE",NULL,NULL,NULL
3710,478,130,"MEAL SERVICES",NULL,NULL,NULL
3899,479,130,"Route 4",88,2,"ROUTE 4"
3900,479,130,"Route 5",89,2,"ROUTE 5"
3902,505,130,"RS JS1",NULL,NULL,NULL
3903,505,130,"RS JS2",NULL,NULL,NULL
3904,505,130,"RS JS3",NULL,NULL,NULL
3905,505,130,"RS SS1",NULL,NULL,NULL
3906,505,130,"RS SS2",NULL,NULL,NULL
3907,505,130,"RS SS3",NULL,NULL,NULL
3908,505,130,"RS DAYCARE",NULL,NULL,NULL
3909,505,130,"RS PG1",NULL,NULL,NULL
3910,505,130,"RS PG2",NULL,NULL,NULL
3911,505,130,"RS NURS1",NULL,NULL,NULL
3912,505,130,"RS NURS2",NULL,NULL,NULL
3913,505,130,"RS NURS3",NULL,NULL,NULL
3914,505,130,"RS BASIC 1",NULL,NULL,NULL
3915,505,130,"RS BASIC 2",NULL,NULL,NULL
3916,505,130,"RS BASIC 3",NULL,NULL,NULL
3917,505,130,"RS BASIC 4",NULL,NULL,NULL
3918,505,130,"RS BASIC 6",NULL,NULL,NULL
