SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
276,136,57,Tuition,2,13,"TUITION FEE"
2620,136,57,Graduation,21,18,"GRADUATION CEREMONY"
2621,136,57,Lesson,7,5,"MUSIC LESSONS"
2622,136,57,"End of session party",NULL,NULL,NULL
2623,136,57,"Skill ",NULL,NULL,NULL
2627,136,57,"New Intake",NULL,NULL,NULL
2672,165,57,Cardigan,NULL,NULL,NULL
2671,165,57,"Track trouser",NULL,NULL,NULL
2670,165,57,"Sports top",NULL,NULL,NULL
2669,165,57,"Primary/ nursery uniform",NULL,NULL,NULL
2668,165,57,"Secondary uniform",NULL,NULL,NULL
2673,165,57,"Lab coat",NULL,NULL,NULL
2674,165,57,Tie,32,15,"RESIDENTIAL ACTIVITIES"
2676,165,57,"Track suit",NULL,NULL,NULL
2891,255,57,"Text books",NULL,NULL,NULL
2892,255,57,"Note books",NULL,NULL,NULL
3082,136,57,"Term activities ",NULL,NULL,NULL
3084,255,57,"Study pack",NULL,NULL,NULL
3087,255,57,"Science ",47,6,"SCIENCE CLUB"
3088,255,57,Art,8,5,"ART CLUB"
3089,255,57,"Commercial ",NULL,NULL,NULL
3091,291,57,"WITHIN CITY COLLEGE",NULL,NULL,NULL
3092,291,57,"OUTSIDE CITY COLLEGE",NULL,NULL,NULL
3093,291,57,"CITY COLLEGE (ONE ROUTE)",NULL,NULL,NULL
3094,291,57,"OUTSIDE CITY COLLEGE (ONE ROUTE)",NULL,NULL,NULL
