Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
5536,"BASIC SCIENCE AND TECHNOLOGY",53,"BASIC SCIENCE AND TECHNOLOGY","Grade 1",148,1409
5527,CCA,6957,CCA,"Grade 1",148,1409
5537,CRS,827,CRS/IRS,"Grade 1",148,1409
5528,"ENGLISH LANGUAGE",541,"ENGLISH LANGUAGE","Grade 1",148,1409
5538,GEOGRAPHY,645,GEOGRAPHY,"Grade 1",148,1409
5539,HANDWRITING,6927,HANDWRITING,"Grade 1",148,1409
5541,HISTORY,646,HISTORY,"Grade 1",148,1409
5534,ICT,651,DICTION,"Grade 1",148,1409
5542,IRS,827,CRS/IRS,"Grade 1",148,1409
5529,MATHEMATICS,62,MATHEMATICS,"Grade 1",148,1409
5535,NVE,7311,NVE,"Grade 1",148,1409
5530,"PREVOCATIONAL STUDIES",6984,"PREVOCATIONAL STUDIES","Grade 1",148,1409
5531,"QUANTITATIVE REASONING",67,"QUANTITATIVE REASONING","Grade 1",148,1409
5532,"VERBAL REASONING",68,"VERBAL REASONING","Grade 1",148,1409
5717,PROJECT,7312,PROJECT,"Grade 1",148,1409
6064,FRENCH,57,FRENCH,"Grade 1",148,1409
5536,"BASIC SCIENCE AND TECHNOLOGY",70,"BASIC SCIENCE AND TECHNOLOGY","Grade 2",149,1410
5527,CCA,6959,CCA,"Grade 2",149,1410
5537,CRS,824,CRS/IRS,"Grade 2",149,1410
5528,"ENGLISH LANGUAGE",553,"ENGLISH LANGUAGE","Grade 2",149,1410
5538,GEOGRAPHY,653,GEOGRAPHY,"Grade 2",149,1410
5539,HANDWRITING,6928,HANDWRITING,"Grade 2",149,1410
5541,HISTORY,654,HISTORY,"Grade 2",149,1410
5534,ICT,559,DICTATION,"Grade 2",149,1410
5542,IRS,824,CRS/IRS,"Grade 2",149,1410
5529,MATHEMATICS,79,MATHEMATICS,"Grade 2",149,1410
5535,NVE,7313,NVE,"Grade 2",149,1410
5530,"PREVOCATIONAL STUDIES",6988,"PREVOCATIONAL STUDIES","Grade 2",149,1410
5531,"QUANTITATIVE REASONING",84,"QUANTITATIVE REASONING","Grade 2",149,1410
5532,"VERBAL REASONING",85,"VERBAL REASONING","Grade 2",149,1410
5717,PROJECT,7314,PROJECT,"Grade 2",149,1410
6064,FRENCH,74,FRENCH,"Grade 2",149,1410
5536,"BASIC SCIENCE AND TECHNOLOGY",87,"BASIC SCIENCE AND TECHNOLOGY","Grade 3",150,1411
5527,CCA,6961,CCA,"Grade 3",150,1411
5537,CRS,820,CRS/IRS,"Grade 3",150,1411
5528,"ENGLISH LANGUAGE",567,"ENGLISH LANGUAGE","Grade 3",150,1411
5538,GEOGRAPHY,661,GEOGRAPHY,"Grade 3",150,1411
5539,HANDWRITING,6929,HANDWRITING,"Grade 3",150,1411
5541,HISTORY,662,HISTORY,"Grade 3",150,1411
5534,ICT,573,DICTATION,"Grade 3",150,1411
