Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
4066,COLOURING,627,COLOURING,"Pre-Kindergarten 1",142,1130
4098,COMPUTER,628,"COMPUTER STUDIES","Pre-Kindergarten 1",142,1130
4067,"MORAL INSTRUCTIONS",629,"MORAL INSTRUCTIONS","Pre-Kindergarten 1",142,1130
4068,NUMERACY,5,NUMERACY,"Pre-Kindergarten 1",142,1130
4069,PHONICS,630,PHONICS,"Pre-Kindergarten 1",142,1130
4099,"PRACTICAL LIFE EXERCISES",631,"PRACTICAL LIFE EXERCISES","Pre-Kindergarten 1",142,1130
4100,RHYMES,632,RHYMES,"Pre-Kindergarten 1",142,1130
4070,SCIENCE,633,SCIENCE,"Pre-Kindergarten 1",142,1130
4071,SHAPES,634,"SHAPES ","Pre-Kindergarten 1",142,1130
4101,STORY,635,STORY,"Pre-Kindergarten 1",142,1130
4066,COLOURING,627,COLOURING,"Pre-kindergarten 2",142,1131
4098,COMPUTER,628,"COMPUTER STUDIES","Pre-kindergarten 2",142,1131
4067,"MORAL INSTRUCTIONS",629,"MORAL INSTRUCTIONS","Pre-kindergarten 2",142,1131
4068,NUMERACY,5,NUMERACY,"Pre-kindergarten 2",142,1131
4069,PHONICS,630,PHONICS,"Pre-kindergarten 2",142,1131
4099,"PRACTICAL LIFE EXERCISES",631,"PRACTICAL LIFE EXERCISES","Pre-kindergarten 2",142,1131
4100,RHYMES,632,RHYMES,"Pre-kindergarten 2",142,1131
4070,SCIENCE,633,SCIENCE,"Pre-kindergarten 2",142,1131
4071,SHAPES,634,"SHAPES ","Pre-kindergarten 2",142,1131
4101,STORY,635,STORY,"Pre-kindergarten 2",142,1131
4080,"COMPUTER SCIENCE",6925,"COMPUTER SCIENCE","Kindergarten 1",142,1132
4081,"CULTURAL AND CREATIVE ARTS",636,"CULTURAL AND CREATIVE ARTS","Kindergarten 1",142,1132
4082,DICTION,637,DICTION,"Kindergarten 1",142,1132
4064,FRENCH,638,FRENCH,"Kindergarten 1",142,1132
4083,HANDWRITING,6926,HANDWRITING,"Kindergarten 1",142,1132
4084,PHONICS,630,PHONICS,"Kindergarten 1",142,1132
4085,"PRACTICAL LIFE EXERCISES",631,"PRACTICAL LIFE EXERCISES","Kindergarten 1",142,1132
4087,RHYMES,632,RHYMES,"Kindergarten 1",142,1132
4088,SCIENCE,633,SCIENCE,"Kindergarten 1",142,1132
4089,"SOCIAL SKILLS",639,"SOCIAL SKILLS","Kindergarten 1",142,1132
4091,STORY,635,STORY,"Kindergarten 1",142,1132
4102,"CHRISTIAN RELIGIOUS STUDIES",500,"CHRISTIAN RELIGIOUS STUDIES","Kindergarten 1",142,1132
4103,"ISLAMIC RELIGIOUS STUDIES",640,"ISLAMIC RELIGIOUS STUDIES","Kindergarten 1",142,1132
4080,"COMPUTER SCIENCE",6925,"COMPUTER SCIENCE","Kindergarten 2",142,1133
4081,"CULTURAL AND CREATIVE ARTS",636,"CULTURAL AND CREATIVE ARTS","Kindergarten 2",142,1133
4082,DICTION,637,DICTION,"Kindergarten 2",142,1133
4064,FRENCH,638,FRENCH,"Kindergarten 2",142,1133
4083,HANDWRITING,6926,HANDWRITING,"Kindergarten 2",142,1133
4084,PHONICS,630,PHONICS,"Kindergarten 2",142,1133
4085,"PRACTICAL LIFE EXERCISES",631,"PRACTICAL LIFE EXERCISES","Kindergarten 2",142,1133
4086,"QUANTITATIVE REASONING",641,"QUANTITATIVE REASONING","Kindergarten 2",142,1133
4087,RHYMES,632,RHYMES,"Kindergarten 2",142,1133
4088,SCIENCE,633,SCIENCE,"Kindergarten 2",142,1133
4089,"SOCIAL SKILLS",639,"SOCIAL SKILLS","Kindergarten 2",142,1133
4091,STORY,635,STORY,"Kindergarten 2",142,1133
4090,"VERBAL REASONING",642,"VERBAL REASONING","Kindergarten 2",142,1133
4102,"CHRISTIAN RELIGIOUS STUDIES",500,"CHRISTIAN RELIGIOUS STUDIES","Kindergarten 2",142,1133
4103,"ISLAMIC RELIGIOUS STUDIES",640,"ISLAMIC RELIGIOUS STUDIES","Kindergarten 2",142,1133
4121,LITERACY,4,LITERACY,"Kindergarten 2",142,1133
4122,NUMERACY,5,NUMERACY,"Kindergarten 2",142,1133
4778,"MORAL INSTRUCTION",629,"MORAL INSTRUCTIONS","Kindergarten 2",142,1133
4779,"VOCATIONAL APTITUDE",644,"VOCATIONAL APTITUDE ","Kindergarten 2",142,1133
4076,"AGRICULTURAL SCIENCE",538,"AGRICULTURAL SCIENCE","Grade 1",148,1134
4056,"BASIC SCIENCE",53,"BASIC SCIENCE AND TECHNOLOGY","Grade 1",148,1134
4057,P.H.E,544,P.H.E,"Grade 1",148,1134
4094,"CHRISTIAN RELIGIOUS STUDIES",54,"CHRISTIAN RELIGIOUS STUDIES","Grade 1",148,1134
4095,"CIVIC EDUCATION",63,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","Grade 1",148,1134
4058,"COMPUTER SCIENCE",539,"COMPUTER SCIENCE","Grade 1",148,1134
4073,"CULTURAL AND CREATIVE ARTS",55,"CULTURAL AND CREATIVE ARTS","Grade 1",148,1134
4092,"ENGLISH STUDIES",56,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","Grade 1",148,1134
4063,FRENCH,57,FRENCH,"Grade 1",148,1134
4077,GEOGRAPHY,645,GEOGRAPHY,"Grade 1",148,1134
4074,HANDWRITING,6927,HANDWRITING,"Grade 1",148,1134
4078,HISTORY,646,HISTORY,"Grade 1",148,1134
4075,"HOME ECONOMICS",65,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","Grade 1",148,1134
4062,"ISLAMIC RELIGIOUS STUDIES",647,"ISLAMIC RELIGIOUS STUDIES","Grade 1",148,1134
4072,"LIBRARY STUDIES",648,"LIBRARY STUDIES","Grade 1",148,1134
4059,MATHEMATICS,62,MATHEMATICS,"Grade 1",148,1134
4065,MUSIC,649,MUSIC,"Grade 1",148,1134
