Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
5173,"BIBLE KNOWLEDGE",6879,"BIBLE KNOWLEDGE","Pre-School 1",142,1294
5170,"COLOUR CLASS",,,"Pre-School 1",142,1294
5172,"CREATIVE ART",501,"CREATIVE ART","Pre-School 1",142,1294
5175,"HEALTH HABIT",7010,"HEALTH HABIT","Pre-School 1",142,1294
5168,"LETTER WORK",6880,"LETTER WORK","Pre-School 1",142,1294
5171,"MONTESSORI ACTIVITY",6881,"MONTESSORI ACTIVITY","Pre-School 1",142,1294
5169,"NUMBER WORK",6882,"NUMBER WORK","Pre-School 1",142,1294
5178,RHYMES,632,RHYMES,"Pre-School 1",142,1294
5174,SCIENCE,633,SCIENCE,"Pre-School 1",142,1294
5177,"SHAPE CLASS",,,"Pre-School 1",142,1294
5176,"SOCIAL HABIT",6884,"SOCIAL HABIT","Pre-School 1",142,1294
5173,"BIBLE KNOWLEDGE",6879,"BIBLE KNOWLEDGE","Pre-School 2",142,1295
5170,"COLOUR CLASS",,,"Pre-School 2",142,1295
5172,"CREATIVE ART",501,"CREATIVE ART","Pre-School 2",142,1295
5175,"HEALTH HABIT",7010,"HEALTH HABIT","Pre-School 2",142,1295
5168,"LETTER WORK",6880,"LETTER WORK","Pre-School 2",142,1295
5171,"MONTESSORI ACTIVITY",6881,"MONTESSORI ACTIVITY","Pre-School 2",142,1295
5169,"NUMBER WORK",6882,"NUMBER WORK","Pre-School 2",142,1295
5178,RHYMES,632,RHYMES,"Pre-School 2",142,1295
5174,SCIENCE,633,SCIENCE,"Pre-School 2",142,1295
5177,"SHAPE CLASS",,,"Pre-School 2",142,1295
5176,"SOCIAL HABIT",6884,"SOCIAL HABIT","Pre-School 2",142,1295
5192,"CREATIVE ART",831,"CREATIVE ARTS","Nursery 1",145,1296
5189,"HAND WRITING",514,"HAND WRITING","Nursery 1",145,1296
5187,"HEALTH HABIT",6885,"HEALTH HABIT","Nursery 1",145,1296
5180,LITERACY,14,LITERACY,"Nursery 1",145,1296
5179,NUMERACY,16,NUMERACY,"Nursery 1",145,1296
5194,PHONICS,17,PHONICS,"Nursery 1",145,1296
5188,"PRACTICAL LIFE",6886,"PRACTICAL LIFE","Nursery 1",145,1296
5190,"QUANTITATIVE REASONING",520,"QUANTITATIVE REASONING","Nursery 1",145,1296
5193,RHYMES,792,SONGS/RHYMES,"Nursery 1",145,1296
5182,SCIENCE,509,"AGRICULTURAL SCIENCE","Nursery 1",145,1296
5183,"SENSORIAL EDUCATION",6888,"SENSORIAL EDUCATION","Nursery 1",145,1296
5185,"SOCIAL HABIT",6887,"SOCIAL HABIT","Nursery 1",145,1296
5191,"VERBAL REASONING",22,"VERBAL REASONING","Nursery 1",145,1296
5181,VOCABULARY,6889,VOCABULARY,"Nursery 1",145,1296
5184,"RELIGION AND NATIONAL VALUE",6890,"RELIGION AND NATIONAL VALUE EDUCATION","Nursery 1",145,1296
5192,"CREATIVE ART",848,"CREATIVE ARTS","Nursery 2",146,1297
5189,"HAND WRITING",530,"HAND WRITING","Nursery 2",146,1297
