Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
4423,"BASIC HABIT",7244,"BASIC HABIT","Nursery 2",146,1181
4424,COLOURING,6979,"DRAWING AND COLOURING","Nursery 2",146,1181
4426,HANDWRITING,7046,HANDWRITING,"Nursery 2",146,1181
4427,"HEALTH HABIT",6891,"HEALTH HABIT","Nursery 2",146,1181
4428,LITERACY,28,LITERACY,"Nursery 2",146,1181
4429,"MORAL INSTRUCTION",7185,"MORAL INSTRUCTIONS","Nursery 2",146,1181
4430,NUMERACY,30,NUMERACY,"Nursery 2",146,1181
4431,RHYMES,762,SONGS/RHYMES,"Nursery 2",146,1181
4432,"SOCIAL HABIT",6894,"SOCIAL HABIT","Nursery 2",146,1181
4505,DICTION,528,"DICTION ","Nursery 2",146,1181
4450,"AGRICULTURAL SCIENCE",538,"AGRICULTURAL SCIENCE","GRADE 1",148,1182
4433,"BASIC SCIENCE AND TECHNOLOGY",53,"BASIC SCIENCE AND TECHNOLOGY","GRADE 1",148,1182
4434,"CIVIC EDUCATION",63,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","GRADE 1",148,1182
4447,CRS,827,CRS/IRS,"GRADE 1",148,1182
4436,"CULTURAL AND CREATIVE ARTS",55,"CULTURAL AND CREATIVE ARTS","GRADE 1",148,1182
4444,DICTION,651,DICTION,"GRADE 1",148,1182
4437,"ENGLISH STUDIES",56,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","GRADE 1",148,1182
4445,FRENCH,57,FRENCH,"GRADE 1",148,1182
4439,"HOME ECONOMICS",65,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","GRADE 1",148,1182
4440,MATHEMATICS,62,MATHEMATICS,"GRADE 1",148,1182
4441,"PHYSICAL AND HEALTH EDUCATION",828,"PHYSICAL AND HEALTH EDUCATION","GRADE 1",148,1182
4449,"QUANTITATIVE REASONING",67,"QUANTITATIVE REASONING","GRADE 1",148,1182
4442,"SOCIAL STUDIES",63,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","GRADE 1",148,1182
4443,"VERBAL REASONING",68,"VERBAL REASONING","GRADE 1",148,1182
