Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
2426,"ENGLISH LANGUAGE",7461,"ENGLISH LANGUAGE","PLAY PEN",141,630
2425,MATHEMATICS,7025,MATHEMATICS,"PLAY PEN",141,630
2430,"SOCIAL STUDIES",7428,"SOCIAL STUDIES","PLAY PEN",141,630
2434,"ELEMENTARY SCIENCE",7431,"ELEMENTARY SCIENCE","PLAY PEN",141,630
2432,"MORAL INSTRUCTION",7245,"CIVIC AND MORAL INSTRUCTION","PLAY PEN",141,630
2470,"HAND WRITING",7166,"HAND WRITING","PLAY PEN",141,630
2435,"CHRISTIAN RELIGIOUS STUDIES",,,"PLAY PEN",141,630
2433,RHYMES,7029,"RHYMES AND POEM","PLAY PEN",141,630
2471,CRAFT,7432,CRAFT,"PLAY PEN",141,630
2469,"CULTURAL AND CREATIVE ARTS",7433,"CULTURAL AND CREATIVE ARTS","PLAY PEN",141,630
2431,"PHYSICAL AND HEALTH EDUCATION",7434,"PHYSICAL AND HEALTH EDUCATION","PLAY PEN",141,630
2426,"ENGLISH LANGUAGE",502,"ENGLISH LANGUAGE","KG ONE",142,631
2425,MATHEMATICS,505,MATHEMATICS,"KG ONE",142,631
2435,"CHRISTIAN RELIGIOUS STUDIES",500,"CHRISTIAN RELIGIOUS STUDIES","KG ONE",142,631
2432,"MORAL INSTRUCTION",629,"MORAL INSTRUCTIONS","KG ONE",142,631
2430,"SOCIAL STUDIES",7101,"SOCIAL STUDIES","KG ONE",142,631
2434,"ELEMENTARY SCIENCE",7435,"ELEMENTARY SCIENCE","KG ONE",142,631
2470,"HAND WRITING",503,"HAND WRITING","KG ONE",142,631
2471,CRAFT,7303,CRAFT,"KG ONE",142,631
2469,"CULTURAL AND CREATIVE ARTS",636,"CULTURAL AND CREATIVE ARTS","KG ONE",142,631
2428,"QUANTITATIVE REASONING",641,"QUANTITATIVE REASONING","KG ONE",142,631
2429,"VERBAL REASONING",642,"VERBAL REASONING","KG ONE",142,631
2431,"PHYSICAL AND HEALTH EDUCATION",7436,"PHYSICAL AND HEALTH EDUCATION","KG ONE",142,631
2433,RHYMES,632,RHYMES,"KG ONE",142,631
2426,"ENGLISH LANGUAGE",502,"ENGLISH LANGUAGE","KG TWO",142,632
2425,MATHEMATICS,505,MATHEMATICS,"KG TWO",142,632
2435,"CHRISTIAN RELIGIOUS STUDIES",500,"CHRISTIAN RELIGIOUS STUDIES","KG TWO",142,632
2432,"MORAL INSTRUCTION",629,"MORAL INSTRUCTIONS","KG TWO",142,632
2430,"SOCIAL STUDIES",7101,"SOCIAL STUDIES","KG TWO",142,632
2427,"COMPUTER STUDIES",628,"COMPUTER STUDIES","KG TWO",142,632
2434,"ELEMENTARY SCIENCE",7435,"ELEMENTARY SCIENCE","KG TWO",142,632
2431,"PHYSICAL AND HEALTH EDUCATION",7436,"PHYSICAL AND HEALTH EDUCATION","KG TWO",142,632
2428,"QUANTITATIVE REASONING",641,"QUANTITATIVE REASONING","KG TWO",142,632
2429,"VERBAL REASONING",642,"VERBAL REASONING","KG TWO",142,632
2433,RHYMES,632,RHYMES,"KG TWO",142,632
2471,CRAFT,7303,CRAFT,"KG TWO",142,632
2470,"HAND WRITING",503,"HAND WRITING","KG TWO",142,632
2469,"CULTURAL AND CREATIVE ARTS",636,"CULTURAL AND CREATIVE ARTS","KG TWO",142,632
2426,"ENGLISH LANGUAGE",7437,"ENGLISH LANGUAGE",NURSERY,144,633
2425,MATHEMATICS,7261,"MATHEMATICS SKILL",NURSERY,144,633
2430,"SOCIAL STUDIES",7438,"SOCIAL STUDIES",NURSERY,144,633
2427,"COMPUTER STUDIES",7439,"COMPUTER STUDIES",NURSERY,144,633
2434,"ELEMENTARY SCIENCE",7440,"ELEMENTARY SCIENCE",NURSERY,144,633
2431,"PHYSICAL AND HEALTH EDUCATION",7441,"PHYSICAL AND HEALTH EDUCATION",NURSERY,144,633
2428,"QUANTITATIVE REASONING",7214,"QUANTITATIVE REASONING",NURSERY,144,633
3646,PHONICS,846,PHONICS,NURSERY,144,633
2470,"HAND WRITING",772,"HAND WRITING",NURSERY,144,633
2471,CRAFT,7442,CRAFT,NURSERY,144,633
2469,"CULTURAL AND CREATIVE ARTS",,,NURSERY,144,633
2435,"CHRISTIAN RELIGIOUS STUDIES",7208,"CHRISTIAN RELIGIOUS STUDIES",NURSERY,144,633
2429,"VERBAL REASONING",7216,"VERBAL REASONING",NURSERY,144,633
2437,"ENGLISH LANGUAGE",541,"ENGLISH LANGUAGE","BASIC 1A",148,634
2436,MATHEMATICS,62,MATHEMATICS,"BASIC 1A",148,634
2443,"CULTURAL AND CREATIVE ARTS",55,"CULTURAL AND CREATIVE ARTS","BASIC 1A",148,634
2441,"QUANTITATIVE REASONING",67,"QUANTITATIVE REASONING","BASIC 1A",148,634
2442,"VERBAL REASONING",68,"VERBAL REASONING","BASIC 1A",148,634
2450,FRENCH,57,FRENCH,"BASIC 1A",148,634
2451,"BASIC SCIENCE AND TECHNOLOGY",53,"BASIC SCIENCE AND TECHNOLOGY","BASIC 1A",148,634
2566,"PVS(PRE-VOCATIONAL STUDIES)",7443,"PVS(PRE-VOCATIONAL STUDIES)","BASIC 1A",148,634
2565,"RELIGIOUS AND A NATIONAL VALUE (RNV)",7446,"RELIGIOUS AND A NATIONAL VALUE (RNV)","BASIC 1A",148,634
2452,PHONICS,64,PHONICS,"BASIC 1A",148,634
2567,CRAFT,7445,CRAFT,"BASIC 1A",148,634
2564,"HAND WRITING",58,"HAND WRITING","BASIC 1A",148,634
3892,HISTORY,646,HISTORY,"BASIC 1A",148,634
2437,"ENGLISH LANGUAGE",541,"ENGLISH LANGUAGE","BASIC 1B",148,635
2436,MATHEMATICS,62,MATHEMATICS,"BASIC 1B",148,635
2441,"QUANTITATIVE REASONING",67,"QUANTITATIVE REASONING","BASIC 1B",148,635
2442,"VERBAL REASONING",68,"VERBAL REASONING","BASIC 1B",148,635
2450,FRENCH,57,FRENCH,"BASIC 1B",148,635
2564,"HAND WRITING",58,"HAND WRITING","BASIC 1B",148,635
2452,PHONICS,64,PHONICS,"BASIC 1B",148,635
2451,"BASIC SCIENCE AND TECHNOLOGY",53,"BASIC SCIENCE AND TECHNOLOGY","BASIC 1B",148,635
2567,CRAFT,7445,CRAFT,"BASIC 1B",148,635
2443,"CULTURAL AND CREATIVE ARTS",55,"CULTURAL AND CREATIVE ARTS","BASIC 1B",148,635
2566,"PVS(PRE-VOCATIONAL STUDIES)",7443,"PVS(PRE-VOCATIONAL STUDIES)","BASIC 1B",148,635
2565,"RELIGIOUS AND A NATIONAL VALUE (RNV)",7446,"RELIGIOUS AND A NATIONAL VALUE (RNV)","BASIC 1B",148,635
3892,HISTORY,646,HISTORY,"BASIC 1B",148,635
2437,"ENGLISH LANGUAGE",553,"ENGLISH LANGUAGE","BASIC 2A",149,636
2436,MATHEMATICS,79,MATHEMATICS,"BASIC 2A",149,636
2441,"QUANTITATIVE REASONING",84,"QUANTITATIVE REASONING","BASIC 2A",149,636
2442,"VERBAL REASONING",85,"VERBAL REASONING","BASIC 2A",149,636
2450,FRENCH,74,FRENCH,"BASIC 2A",149,636
2564,"HAND WRITING",75,"HAND WRITING","BASIC 2A",149,636
2452,PHONICS,81,PHONICS,"BASIC 2A",149,636
2451,"BASIC SCIENCE AND TECHNOLOGY",70,"BASIC SCIENCE AND TECHNOLOGY","BASIC 2A",149,636
2567,CRAFT,7447,CRAFT,"BASIC 2A",149,636
2443,"CULTURAL AND CREATIVE ARTS",72,"CULTURAL AND CREATIVE ARTS","BASIC 2A",149,636
2566,"PVS(PRE-VOCATIONAL STUDIES)",7448,"PVS(PRE-VOCATIONAL STUDIES)","BASIC 2A",149,636
2565,"RELIGIOUS AND A NATIONAL VALUE (RNV)",7449,"RELIGIOUS AND A NATIONAL VALUE (RNV)","BASIC 2A",149,636
3892,HISTORY,654,HISTORY,"BASIC 2A",149,636
2437,"ENGLISH LANGUAGE",567,"ENGLISH LANGUAGE","BASIC 3",150,637
2436,MATHEMATICS,96,MATHEMATICS,"BASIC 3",150,637
2441,"QUANTITATIVE REASONING",101,"QUANTITATIVE REASONING","BASIC 3",150,637
2442,"VERBAL REASONING",102,"VERBAL REASONING","BASIC 3",150,637
2450,FRENCH,91,FRENCH,"BASIC 3",150,637
2564,"HAND WRITING",92,"HAND WRITING","BASIC 3",150,637
2452,PHONICS,98,PHONICS,"BASIC 3",150,637
2451,"BASIC SCIENCE AND TECHNOLOGY",87,"BASIC SCIENCE AND TECHNOLOGY","BASIC 3",150,637
2567,CRAFT,7450,CRAFT,"BASIC 3",150,637
2443,"CULTURAL AND CREATIVE ARTS",89,"CULTURAL AND CREATIVE ARTS","BASIC 3",150,637
2566,"PVS(PRE-VOCATIONAL STUDIES)",7451,"PVS(PRE-VOCATIONAL STUDIES)","BASIC 3",150,637
2565,"RELIGIOUS AND A NATIONAL VALUE (RNV)",7452,"RELIGIOUS AND A NATIONAL VALUE (RNV)","BASIC 3",150,637
3892,HISTORY,662,HISTORY,"BASIC 3",150,637
2437,"ENGLISH LANGUAGE",581,"ENGLISH LANGUAGE","BASIC 4",151,638
2436,MATHEMATICS,113,MATHEMATICS,"BASIC 4",151,638
2446,"HOME ECONOMICS",116,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","BASIC 4",151,638
2445,"SOCIAL STUDIES",114,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","BASIC 4",151,638
2438,"CHRISTIAN RELIGIOUS STUDIES",105,"CHRISTIAN RELIGIOUS STUDIES","BASIC 4",151,638
2440,"CIVIC EDUCATION",114,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","BASIC 4",151,638
2448,"COMPUTER SCIENCE",579,"COMPUTER SCIENCE","BASIC 4",151,638
2443,"CULTURAL AND CREATIVE ARTS",106,"CULTURAL AND CREATIVE ARTS","BASIC 4",151,638
2447,"PHYSICAL AND HEALTH EDUCATION",804,"PHYSICAL AND HEALTH EDUCATION","BASIC 4",151,638
2450,FRENCH,108,FRENCH,"BASIC 4",151,638
2452,PHONICS,115,PHONICS,"BASIC 4",151,638
2441,"QUANTITATIVE REASONING",118,"QUANTITATIVE REASONING","BASIC 4",151,638
2449,"BASIC SCIENCE",104,"BASIC SCIENCE AND TECHNOLOGY","BASIC 4",151,638
2567,CRAFT,7453,CRAFT,"BASIC 4",151,638
2692,"AGRICULTURAL SCIENCE",577,"AGRICULTURAL SCIENCE","BASIC 4",151,638
3892,HISTORY,669,HISTORY,"BASIC 4",151,638
2442,"VERBAL REASONING",119,"VERBAL REASONING","BASIC 4",151,638
2437,"ENGLISH LANGUAGE",597,"ENGLISH LANGUAGE","BASIC 5",152,639
2436,MATHEMATICS,603,MATHEMATICS,"BASIC 5",152,639
2446,"HOME ECONOMICS",601,"HOME ECONOMICS","BASIC 5",152,639
2445,"SOCIAL STUDIES",606,"SOCIAL STUDIES","BASIC 5",152,639
2449,"BASIC SCIENCE",591,"BASIC SCIENCE","BASIC 5",152,639
2438,"CHRISTIAN RELIGIOUS STUDIES",674,"CHRISTIAN RELIGIOUS STUDIES","BASIC 5",152,639
2440,"CIVIC EDUCATION",593,"CIVIC EDUCATION","BASIC 5",152,639
2448,"COMPUTER SCIENCE",595,"COMPUTER SCIENCE","BASIC 5",152,639
2443,"CULTURAL AND CREATIVE ARTS",675,"CULTURAL AND CREATIVE ARTS","BASIC 5",152,639
2447,"PHYSICAL AND HEALTH EDUCATION",809,"PHYSICAL AND HEALTH EDUCATION","BASIC 5",152,639
2450,FRENCH,598,FRENCH,"BASIC 5",152,639
2452,PHONICS,759,"PHONICS DICTATION","BASIC 5",152,639
2441,"QUANTITATIVE REASONING",605,"QUANTITATIVE REASONING ","BASIC 5",152,639
