Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
6074,"(AGRIC. HOME ECON.) PVS",743,"(AGRIC. HOME ECON.) PVS","BASIC ONE",148,1562
6075,"(B.SCI. B.TECH. PHE) BST",7403,"(B.SCI. B.TECH. PHE) BST","BASIC ONE",148,1562
6076,"(C.R.S.CIVIC EDU.SOS)RNV",7404,"(C.R.S.CIVIC EDU.SOS)RNV","BASIC ONE",148,1562
6079,CCA,6957,CCA,"BASIC ONE",148,1562
6081,"ENGLISH STUDIES",56,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","BASIC ONE",148,1562
6082,FRENCH,57,FRENCH,"BASIC ONE",148,1562
6083,"GENERAL MATHEMATICS",7405,"GENERAL MATHEMATICS","BASIC ONE",148,1562
6087,"QUANTITATIVE REASONING",67,"QUANTITATIVE REASONING","BASIC ONE",148,1562
6088,"SPELLING DRILL",7406,"SPELLING DRILL","BASIC ONE",148,1562
6089,"VERBAL REASONING",68,"VERBAL REASONING","BASIC ONE",148,1562
6165,CALLIGRAPHY,7407,CALLIGRAPHY,"BASIC ONE",148,1562
6167,PHONICS,64,PHONICS,"BASIC ONE",148,1562
6074,"(AGRIC. HOME ECON.) PVS",747,"(AGRIC. HOME ECON.) PVS","BASIC THREE",150,1563
6075,"(B.SCI. B.TECH. PHE) BST",7408,"(B.SCI. B.TECH. PHE) BST","BASIC THREE",150,1563
6076,"(C.R.S.CIVIC EDU.SOS)RNV",7409,"(C.R.S.CIVIC EDU.SOS)RNV","BASIC THREE",150,1563
6079,CCA,6961,CCA,"BASIC THREE",150,1563
6081,"ENGLISH STUDIES",90,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","BASIC THREE",150,1563
6082,FRENCH,91,FRENCH,"BASIC THREE",150,1563
6083,"GENERAL MATHEMATICS",7410,"GENERAL MATHEMATICS","BASIC THREE",150,1563
6087,"QUANTITATIVE REASONING",101,"QUANTITATIVE REASONING","BASIC THREE",150,1563
6088,"SPELLING DRILL",7411,"SPELLING DRILL","BASIC THREE",150,1563
6089,"VERBAL REASONING",102,"VERBAL REASONING","BASIC THREE",150,1563
6167,PHONICS,98,PHONICS,"BASIC THREE",150,1563
6165,CALLIGRAPHY,7412,CALLIGRAPHY,"BASIC THREE",150,1563
6144,C.C.A,7300,C.C.A,"NURSERY TWO",146,1564
6147,"ENGLISH STUDIES",7413,"ENGLISH STUDIES","NURSERY TWO",146,1564
6149,MATHEMATICS,532,MATHEMATICS,"NURSERY TWO",146,1564
6151,PHONICS,31,PHONICS,"NURSERY TWO",146,1564
6159,"(AGRIC. HOME ECON.) PVS",7414,"(AGRIC. HOME ECON.) PVS","NURSERY TWO",146,1564
6160,"(B.SCI. B.TECH. PHE) BST",7415,"(B.SCI. B.TECH. PHE) BST","NURSERY TWO",146,1564
6161,"(C.R.S.CIVIC EDU.SOS)RNV",7416,"(C.R.S.CIVIC EDU.SOS)RNV","NURSERY TWO",146,1564
6162,CALLIGRAPHY,7417,CALLIGRAPHY,"NURSERY TWO",146,1564
6163,READING,536,READING,"NURSERY TWO",146,1564
6164,SPELLING,537,SPELLING,"NURSERY TWO",146,1564
6090,"AGRICULTURAL SCIENCE",614,"AGRICULTURAL SCIENCE","JSS 1",154,1565
6107,"BASIC SCIENCE",138,"BASIC SCIENCE AND TECHNOLOGY","JSS 1",154,1565
6105,"BASIC TECHNOLOGY",615,"BASIC TECHNOLOGY","JSS 1",154,1565
6091,"BUSINESS STUDIES",139,"BUSINESS STUDIES","JSS 1",154,1565
6092,CCA/MUSIC,7418,CCA/MUSIC,"JSS 1",154,1565
6093,"CHRISTIAN RELIGION STUDIES",7296,"CHRISTIAN RELIGION STUDIES","JSS 1",154,1565
6094,"CIVIC EDUCATION",617,"CIVIC EDUCATION","JSS 1",154,1565
6096,"ENGLISH STUDIES",703,"ENGLISH STUDIES","JSS 1",154,1565
6097,FRENCH,143,FRENCH,"JSS 1",154,1565
6098,"GENERAL MATHEMATICS",7171,"GENERAL MATHEMATICS","JSS 1",154,1565
6099,"HOME ECONNOMICS",7419,"HOME ECONNOMICS","JSS 1",154,1565
6100,"INFORMATION COMMUNICATION TECHNOLOGY",7174,"INFORMATION COMMUNICATION TECHNOLOGY","JSS 1",154,1565
6101,"LITERATURE IN ENGLISH",145,"LITERATURE IN ENGLISH ","JSS 1",154,1565
6106,PHONICS,838,PHONICS,"JSS 1",154,1565
6102,"PHYSICAL AND HEALTH EDUCATION",622,"PHYSICAL AND HEALTH EDUCATION","JSS 1",154,1565
6103,"SECURITY EDUCATION",701," SECURITY EDUCATION","JSS 1",154,1565
6104,"SOCIAL STUDIES",624,"SOCIAL STUDIES","JSS 1",154,1565
6090,"AGRICULTURAL SCIENCE",784,"AGRICULTURAL SCIENCE","JSS 2",155,1566
6107,"BASIC SCIENCE",149,"BASIC SCIENCE AND TECHNOLOGY","JSS 2",155,1566
6105,"BASIC TECHNOLOGY",779,"BASIC TECHNOLOGY","JSS 2",155,1566
6091,"BUSINESS STUDIES",150,"BUSINESS STUDIES","JSS 2",155,1566
6092,CCA/MUSIC,7420,CCA/MUSIC,"JSS 2",155,1566
6093,"CHRISTIAN RELIGION STUDIES",7306,"CHRISTIAN RELIGION STUDIES","JSS 2",155,1566
6094,"CIVIC EDUCATION",786,"CIVIC EDUCATION","JSS 2",155,1566
6096,"ENGLISH STUDIES",788,"ENGLISH STUDIES","JSS 2",155,1566
6097,FRENCH,154,FRENCH,"JSS 2",155,1566
6098,"GENERAL MATHEMATICS",7421,"GENERAL MATHEMATICS","JSS 2",155,1566
6099,"HOME ECONNOMICS",7422,"HOME ECONNOMICS","JSS 2",155,1566
6100,"INFORMATION COMMUNICATION TECHNOLOGY",7423,"INFORMATION COMMUNICATION TECHNOLOGY","JSS 2",155,1566
6101,"LITERATURE IN ENGLISH",156,"LITERATURE IN ENGLISH ","JSS 2",155,1566
6106,PHONICS,7111,PHONICS,"JSS 2",155,1566
6102,"PHYSICAL AND HEALTH EDUCATION",790,"PHYSICAL AND HEALTH EDUCATION","JSS 2",155,1566
6103,"SECURITY EDUCATION",782,"SECURITY EDUCATION","JSS 2",155,1566
6104,"SOCIAL STUDIES",783,"SOCIAL STUDIES","JSS 2",155,1566
6090,"AGRICULTURAL SCIENCE",732,"AGRICULTURAL SCIENCE","JSS 3",156,1567
6107,"BASIC SCIENCE",161,"BASIC SCIENCE AND TECHNOLOGY","JSS 3",156,1567
6105,"BASIC TECHNOLOGY",729,"BASIC TECHNOLOGY","JSS 3",156,1567
6091,"BUSINESS STUDIES",162,"BUSINESS STUDIES","JSS 3",156,1567
6092,CCA/MUSIC,7424,CCA/MUSIC,"JSS 3",156,1567
6093,"CHRISTIAN RELIGION STUDIES",7293,"CHRISTIAN RELIGION STUDIES","JSS 3",156,1567
6094,"CIVIC EDUCATION",734,"CIVIC EDUCATION","JSS 3",156,1567
6096,"ENGLISH STUDIES",727,"ENGLISH STUDIES","JSS 3",156,1567
6097,FRENCH,166,FRENCH,"JSS 3",156,1567
6098,"GENERAL MATHEMATICS",7425,"GENERAL MATHEMATICS","JSS 3",156,1567
6099,"HOME ECONNOMICS",7426,"HOME ECONNOMICS","JSS 3",156,1567
6100,"INFORMATION COMMUNICATION TECHNOLOGY",7427,"INFORMATION COMMUNICATION TECHNOLOGY","JSS 3",156,1567
6101,"LITERATURE IN ENGLISH",168,"LITERATURE IN ENGLISH ","JSS 3",156,1567
6106,PHONICS,7117,PHONICS,"JSS 3",156,1567
6102,"PHYSICAL AND HEALTH EDUCATION",735,"PHYSICAL AND HEALTH EDUCATION","JSS 3",156,1567
6103,"SECURITY EDUCATION",725,"SECURITY EDUCATION","JSS 3",156,1567
6104,"SOCIAL STUDIES",731,"SOCIAL STUDIES","JSS 3",156,1567
