Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
1203,C.R.S/I.R.S,6932,C.R.S/I.R.S,"Basic six(6) Pearl",153,165
1206,"HAND WRITING",126,"HAND WRITING","Basic six(6) Pearl",153,165
1205,"BASIC SCIENCE AND TECHNOLOGY",121,"BASIC SCIENCE AND TECHNOLOGY","Basic six(6) Pearl",153,165
1204,"CULTURAL AND CREATIVE ART",123,"CULTURAL AND CREATIVE ARTS","Basic six(6) Pearl",153,165
1202,"ENGLISH STUDIES",124,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","Basic six(6) Pearl",153,165
1200,FRENCH,125,FRENCH,"Basic six(6) Pearl",153,165
1201,MATHEMATICS,130,MATHEMATICS,"Basic six(6) Pearl",153,165
1209,MUSIC,6933,MUSIC,"Basic six(6) Pearl",153,165
1208,"NATIONAL VALUES",6934,"NATIONAL VALUES","Basic six(6) Pearl",153,165
1207,"PRE-VOCATIONAL STUDIES",133,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","Basic six(6) Pearl",153,165
834,NUMERACY,844,NUMERACY,"Pre Nursery Amber ",144,166
836,"PHYSICAL AND HEALTH HABIT",6935,"PHYSICAL AND HEALTH HABIT","Pre Nursery Amber ",144,166
835,"CREATIVE ART",840,"CREATIVE ARTS","Pre Nursery Amber ",144,166
833,LITERACY,843,LITERACY,"Pre Nursery Amber ",144,166
837,"SOCIAL HABIT",6936,"SOCIAL HABIT","Pre Nursery Amber ",144,166
834,NUMERACY,844,NUMERACY,"Pre-Nursery Gold",144,167
836,"PHYSICAL AND HEALTH HABIT",6935,"PHYSICAL AND HEALTH HABIT","Pre-Nursery Gold",144,167
835,"CREATIVE ART",840,"CREATIVE ARTS","Pre-Nursery Gold",144,167
833,LITERACY,843,LITERACY,"Pre-Nursery Gold",144,167
837,"SOCIAL HABIT",6936,"SOCIAL HABIT","Pre-Nursery Gold",144,167
1203,C.R.S/I.R.S,6937,C.R.S/I.R.S,"Basic four(4) sapphire ",151,168
1206,"HAND WRITING",109,"HAND WRITING","Basic four(4) sapphire ",151,168
1205,"BASIC SCIENCE AND TECHNOLOGY",104,"BASIC SCIENCE AND TECHNOLOGY","Basic four(4) sapphire ",151,168
1204,"CULTURAL AND CREATIVE ART",106,"CULTURAL AND CREATIVE ARTS","Basic four(4) sapphire ",151,168
1202,"ENGLISH STUDIES",107,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","Basic four(4) sapphire ",151,168
1200,FRENCH,108,FRENCH,"Basic four(4) sapphire ",151,168
