Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
1434,NUMERACY,844,NUMERACY,PRE-NURSERY,144,398
1433,LITERACY,843,LITERACY,PRE-NURSERY,144,398
1435,SCIENCE,774,"COMPUTER SCIENCE",PRE-NURSERY,144,398
1436,PHONICS,846,PHONICS,PRE-NURSERY,144,398
1438,RHYMES,773,SONGS/RHYMES,PRE-NURSERY,144,398
1447,CRS/IRS,841,CRS/IRS,PRE-NURSERY,144,398
1437,"HAND WRITING",772,"HAND WRITING",PRE-NURSERY,144,398
1441,COLOURING,7259,"ABC COLOURING",PRE-NURSERY,144,398
1440,"SOCIAL/HEALTH HABITS",,,PRE-NURSERY,144,398
1434,NUMERACY,16,NUMERACY,"NURSERY ONE",145,399
1433,LITERACY,14,LITERACY,"NURSERY ONE",145,399
1438,RHYMES,792,SONGS/RHYMES,"NURSERY ONE",145,399
1442,"SOCIAL/HEALTH HABIT",,,"NURSERY ONE",145,399
1444,"NURSERY SCIENCE",,,"NURSERY ONE",145,399
1445,"QUANTITATIVE REASONING",520,"QUANTITATIVE REASONING","NURSERY ONE",145,399
1446,"VERBAL REASONING",22,"VERBAL REASONING","NURSERY ONE",145,399
1441,COLOURING,6976,"DRAWING AND COLOURING","NURSERY ONE",145,399
1437,"HAND WRITING",514,"HAND WRITING","NURSERY ONE",145,399
1436,PHONICS,17,PHONICS,"NURSERY ONE",145,399
1447,CRS/IRS,794,CRS/IRS,"NURSERY ONE",145,399
1434,NUMERACY,30,NUMERACY,"NURSERY TWO",146,400
1433,LITERACY,28,LITERACY,"NURSERY TWO",146,400
1435,SCIENCE,524,"AGRICULTURAL SCIENCE","NURSERY TWO",146,400
1438,RHYMES,762,SONGS/RHYMES,"NURSERY TWO",146,400
1448,"CURRENT AFFAIRS",7147,"CURRENT AFFAIRS","NURSERY TWO",146,400
1436,PHONICS,31,PHONICS,"NURSERY TWO",146,400
1445,"QUANTITATIVE REASONING",535,"QUANTITATIVE REASONING","NURSERY TWO",146,400
1446,"VERBAL REASONING",36,"VERBAL REASONING","NURSERY TWO",146,400
1437,"HAND WRITING",530,"HAND WRITING","NURSERY TWO",146,400
1447,CRS/IRS,764,CRS/IRS,"NURSERY TWO",146,400
1871,"CULTURAL AND CREATIVE ARTS",,,"NURSERY TWO",146,400
1914,"HEALTH HABIT",6891,"HEALTH HABIT","NURSERY TWO",146,400
1913,"SOCIAL HABIT",6894,"SOCIAL HABIT","NURSERY TWO",146,400
1620,"ENGLISH STUDIES",56,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","BASIC ONE",148,401
1449,MATHEMATICS,62,MATHEMATICS,"BASIC ONE",148,401
1584,"HAND WRITING",58,"HAND WRITING","BASIC ONE",148,401
1586,"H. ECONOMICS",,,"BASIC ONE",148,401
1452,"S. STUDIES",,,"BASIC ONE",148,401
