Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
5959,"ENGLISH STUDIES",,,"SSS 1A",157,1522
5962,MATHEMATICS,184,MATHEMATICS,"SSS 1A",157,1522
5965,"AGRICULTURAL SCIENCE",172,"AGRICULTURAL SCIENCE","SSS 1A",157,1522
5957,BIOLOGY,173,BIOLOGY,"SSS 1A",157,1522
5966,"CHRISTIAN RELIGIOUS STUDIES",175,"CHRISTIAN RELIGIOUS STUDIES","SSS 1A",157,1522
5967,"CIVIC EDUCATION",176,"CIVIC EDUCATION","SSS 1A",157,1522
5958,COMMERCE,709,COMMERCE,"SSS 1A",157,1522
5968,"COMPUTER STUDIES",177,"COMPUTER STUDIES","SSS 1A",157,1522
5969,ECONOMICS,178,ECONOMICS,"SSS 1A",157,1522
5960,"FINANCIAL ACCOUNTING",715,"FINANCIAL ACCOUNTING","SSS 1A",157,1522
5970,"FURTHER MATHEMATICS",708,"FURTHER MATHEMATICS","SSS 1A",157,1522
5971,GEOGRAPHY,711,GEOGRAPHY,"SSS 1A",157,1522
5972,GOVERNMENT,180,GOVERNMENT,"SSS 1A",157,1522
5961,"LITERATURE IN ENGLISH",182,"LITERATURE IN ENGLISH ","SSS 1A",157,1522
5973,MARKETING,183,MARKETING,"SSS 1A",157,1522
5963,CHEMISTRY,174,CHEMISTRY,"SSS 1A",157,1522
5964,PHYSICS,185,PHYSICS,"SSS 1A",157,1522
5934,"ENGLISH LANGUAGE",581,"ENGLISH LANGUAGE","Primary 4",151,1523
5935,MATHEMATICS,113,MATHEMATICS,"Primary 4",151,1523
5932,"AGRICULTURAL SCIENCE",577,"AGRICULTURAL SCIENCE","Primary 4",151,1523
5933,"BASIC SCIENCE",104,"BASIC SCIENCE AND TECHNOLOGY","Primary 4",151,1523
5943,CCA,6963,CCA,"Primary 4",151,1523
5940,"CIVIC EDUCATION",114,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","Primary 4",151,1523
5944,"COMPUTER SCIENCE",579,"COMPUTER SCIENCE","Primary 4",151,1523
5941,CRS,802,CRS/IRS,"Primary 4",151,1523
5945,"HOME ECONOMICS",116,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","Primary 4",151,1523
5936,"PHYSICAL HEALTH EDUCATION",6964,"PHYSICAL HEALTH EDUCATION","Primary 4",151,1523
5937,"QUANTITATIVE REASONING",118,"QUANTITATIVE REASONING","Primary 4",151,1523
5938,"SOCIAL STUDIES",114,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","Primary 4",151,1523
5939,"VERBAL REASONING",119,"VERBAL REASONING","Primary 4",151,1523
5942,WRITING,109,"HAND WRITING","Primary 4",151,1523
5949,"ENGLISH STUDIES",727,"ENGLISH STUDIES","JSS 3",156,1524
5952,MATHEMATICS,169,MATHEMATICS,"JSS 3",156,1524
5946,"BASIC SCIENCE AND TECHNOLOGY",161,"BASIC SCIENCE AND TECHNOLOGY","JSS 3",156,1524
5947,"BUSINESS STUDIES",162,"BUSINESS STUDIES","JSS 3",156,1524
5955,"CHRISTIAN RELIGION STUDIES",,,"JSS 3",156,1524
5948,"CULTURAL AND CREATIVE ARTS",164,"CULTURAL AND CREATIVE ARTS","JSS 3",156,1524
5950,HAUSA,816,HAUSA,"JSS 3",156,1524
5951,HISTORY,724,HISTORY,"JSS 3",156,1524
5956,"ISLAMIC RELIGIOUS STUDIES",,,"JSS 3",156,1524
5953,"NATIONAL VALUES",,,"JSS 3",156,1524
5954,"PREVOCATIONAL STUDIES",7018,"PREVOCATIONAL STUDIES","JSS 3",156,1524
5921,"ENGLISH LANGUAGE",513,"ENGLISH LANGUAGE","Nursery  1",145,1526
5920,MATHEMATICS,516,MATHEMATICS,"Nursery  1",145,1526
5924,"BASIC SCIENCE",6975,"BASIC SCIENCE","Nursery  1",145,1526
5925,DICTATION,799,"PHONICS DICTATION","Nursery  1",145,1526
5931,"DRAWING AND COLOURING",6976,"DRAWING AND COLOURING","Nursery  1",145,1526
5926,"HEALTH HABIT",6885,"HEALTH HABIT","Nursery  1",145,1526
5923,"POEMS AND RYHMES",18,"POEMS AND RYHMES","Nursery  1",145,1526
5927,RELIGION,6890,"RELIGION AND NATIONAL VALUE EDUCATION","Nursery  1",145,1526
5928,"SOCIAL HABIT",6887,"SOCIAL HABIT","Nursery  1",145,1526
5922,WRITING,23,"WRITING SKILLS","Nursery  1",145,1526
5929,"QUANTITATIVE REASONING",520,"QUANTITATIVE REASONING","Nursery  1",145,1526
