Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
6025,"ENGLISH LANGUAGE",541,"ENGLISH LANGUAGE","PRIMARY ONE",148,1553
6026,MATHEMATICS,62,MATHEMATICS,"PRIMARY ONE",148,1553
6027,"AGRICULTURAL SCIENCE",538,"AGRICULTURAL SCIENCE","PRIMARY ONE",148,1553
6028,"BASIC SCIENCE",53,"BASIC SCIENCE AND TECHNOLOGY","PRIMARY ONE",148,1553
6029,CCA,6957,CCA,"PRIMARY ONE",148,1553
6030,"CIVIC EDUCATION",63,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","PRIMARY ONE",148,1553
6031,"COMPUTER SCIENCE",539,"COMPUTER SCIENCE","PRIMARY ONE",148,1553
6033,"HOME ECONOMICS",65,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","PRIMARY ONE",148,1553
6039,"PHYSICAL HEALTH EDUCATION",6958,"PHYSICAL HEALTH EDUCATION","PRIMARY ONE",148,1553
6034,"QUANTITATIVE REASONING",67,"QUANTITATIVE REASONING","PRIMARY ONE",148,1553
6035,"SOCIAL STUDIES",63,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","PRIMARY ONE",148,1553
6036,"VERBAL REASONING",68,"VERBAL REASONING","PRIMARY ONE",148,1553
6037,WRITING,58,"HAND WRITING","PRIMARY ONE",148,1553
6032,CRS,827,CRS/IRS,"PRIMARY ONE",148,1553
6025,"ENGLISH LANGUAGE",553,"ENGLISH LANGUAGE","PRIMARY TWO",149,1554
6026,MATHEMATICS,79,MATHEMATICS,"PRIMARY TWO",149,1554
6027,"AGRICULTURAL SCIENCE",550,"AGRICULTURAL SCIENCE","PRIMARY TWO",149,1554
6028,"BASIC SCIENCE",70,"BASIC SCIENCE AND TECHNOLOGY","PRIMARY TWO",149,1554
6029,CCA,6959,CCA,"PRIMARY TWO",149,1554
6030,"CIVIC EDUCATION",80,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","PRIMARY TWO",149,1554
6031,"COMPUTER SCIENCE",551,"COMPUTER SCIENCE","PRIMARY TWO",149,1554
6032,CRS,824,CRS/IRS,"PRIMARY TWO",149,1554
6033,"HOME ECONOMICS",82,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","PRIMARY TWO",149,1554
6039,"PHYSICAL HEALTH EDUCATION",6960,"PHYSICAL HEALTH EDUCATION","PRIMARY TWO",149,1554
6034,"QUANTITATIVE REASONING",84,"QUANTITATIVE REASONING","PRIMARY TWO",149,1554
