Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
4146,"CHRISTIAN RELIGION STUDIES",7020,"CHRISTIAN RELIGION STUDIES","Reception 1",141,1148
4148,"CREATIVE ART",7021,"CREATIVE ART","Reception 1",141,1148
4141,"ENGLISH STUDIES",7022,"ENGLISH STUDIES","Reception 1",141,1148
4149,HAND-WRITING,7023,HAND-WRITING,"Reception 1",141,1148
4142,"KNOWLEDGE  AND  UNDESTANDING THE WORLD",7024,"KNOWLEDGE  AND  UNDESTANDING THE WORLD","Reception 1",141,1148
4139,MATHEMATICES,,,"Reception 1",141,1148
4188,"PERSONAL SOCIAL AND EMOTIONAL DEVELOPMENT",7026,"PERSONAL SOCIAL AND EMOTIONAL DEVELOPMENT","Reception 1",141,1148
4150,PHONETICS,7027,PHONETICS,"Reception 1",141,1148
4143,"PHYSICAL AND HEALTH DEVELOPMENT",7028,"PHYSICAL AND HEALTH DEVELOPMENT","Reception 1",141,1148
4147,"RHYMES AND POEM",7029,"RHYMES AND POEM","Reception 1",141,1148
4146,"CHRISTIAN RELIGION STUDIES",7020,"CHRISTIAN RELIGION STUDIES","Reception 2",141,1149
4148,"CREATIVE ART",7021,"CREATIVE ART","Reception 2",141,1149
4141,"ENGLISH STUDIES",7022,"ENGLISH STUDIES","Reception 2",141,1149
4149,HAND-WRITING,7023,HAND-WRITING,"Reception 2",141,1149
4142,"KNOWLEDGE  AND  UNDESTANDING THE WORLD",7024,"KNOWLEDGE  AND  UNDESTANDING THE WORLD","Reception 2",141,1149
4139,MATHEMATICES,,,"Reception 2",141,1149
4188,"PERSONAL SOCIAL AND EMOTIONAL DEVELOPMENT",7026,"PERSONAL SOCIAL AND EMOTIONAL DEVELOPMENT","Reception 2",141,1149
4150,PHONETICS,7027,PHONETICS,"Reception 2",141,1149
4143,"PHYSICAL AND HEALTH DEVELOPMENT",7028,"PHYSICAL AND HEALTH DEVELOPMENT","Reception 2",141,1149
4147,"RHYMES AND POEM",7029,"RHYMES AND POEM","Reception 2",141,1149
4166,"AGRIC SCIENCE",7030,"AGRIC SCIENCE","Nursery 1",145,1150
4155,C.R.S,510,C.R.S,"Nursery 1",145,1150
4162,COMPUTER,511,"COMPUTER STUDIES","Nursery 1",145,1150
4163,DICTION,512,"DICTION ","Nursery 1",145,1150
4151,"ENGLISH LANGUAGE",513,"ENGLISH LANGUAGE","Nursery 1",145,1150
4161,"HAND WRITING",514,"HAND WRITING","Nursery 1",145,1150
4153,KNOWLEDGE,20,"RELIGIOUS KNOWLEDGE","Nursery 1",145,1150
4152,MATHEMATICES,7031,MATHEMATICES,"Nursery 1",145,1150
4157,"PHYSICAL HEALTH DEVELOPMENT",517,"PHYSICAL HEALTH DEVELOPMENT","Nursery 1",145,1150
4156,"PHYSICAL SOCIAL EMOTIONAL DEVELOPMENT",518,"PHYSICAL SOCIAL EMOTIONAL DEVELOPMENT","Nursery 1",145,1150
