Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
3617,"BASIC SCIENCE AND TECHNOLOGY",53,"BASIC SCIENCE AND TECHNOLOGY","BASIC 1 DIAMOND ",148,1022
3618,"CHRISTIAN RELIGIOUS STUDIES",54,"CHRISTIAN RELIGIOUS STUDIES","BASIC 1 DIAMOND ",148,1022
3619,"CULTURAL AND CREATIVE ARTS",55,"CULTURAL AND CREATIVE ARTS","BASIC 1 DIAMOND ",148,1022
3620,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)",56,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","BASIC 1 DIAMOND ",148,1022
3621,FRENCH,57,FRENCH,"BASIC 1 DIAMOND ",148,1022
3622,"HAND WRITING",58,"HAND WRITING","BASIC 1 DIAMOND ",148,1022
3623,ICT,651,DICTION,"BASIC 1 DIAMOND ",148,1022
3624,"IGBO LANGUAGE",59,"IGBO LANGUAGE","BASIC 1 DIAMOND ",148,1022
3625,LITERATURE,61,"LITERATURE ","BASIC 1 DIAMOND ",148,1022
3626,MATHEMATICS,62,MATHEMATICS,"BASIC 1 DIAMOND ",148,1022
3627,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)",63,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","BASIC 1 DIAMOND ",148,1022
3628,PHONICS,64,PHONICS,"BASIC 1 DIAMOND ",148,1022
3629,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)",65,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","BASIC 1 DIAMOND ",148,1022
3630,"QUANTITATIVE APPTITUDE",66,"QUANTITATIVE APPTITUDE","BASIC 1 DIAMOND ",148,1022
3631,"VERBAL REASONING",68,"VERBAL REASONING","BASIC 1 DIAMOND ",148,1022
3632,"VOCATIONAL APTITUDE",69,"VOCATIONAL APTITUDE","BASIC 1 DIAMOND ",148,1022
3617,"BASIC SCIENCE AND TECHNOLOGY",53,"BASIC SCIENCE AND TECHNOLOGY","BASIC 1 GOLD",148,1023
3618,"CHRISTIAN RELIGIOUS STUDIES",54,"CHRISTIAN RELIGIOUS STUDIES","BASIC 1 GOLD",148,1023
3619,"CULTURAL AND CREATIVE ARTS",55,"CULTURAL AND CREATIVE ARTS","BASIC 1 GOLD",148,1023
3620,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)",56,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","BASIC 1 GOLD",148,1023
3621,FRENCH,57,FRENCH,"BASIC 1 GOLD",148,1023
3622,"HAND WRITING",58,"HAND WRITING","BASIC 1 GOLD",148,1023
3623,ICT,651,DICTION,"BASIC 1 GOLD",148,1023
3624,"IGBO LANGUAGE",59,"IGBO LANGUAGE","BASIC 1 GOLD",148,1023
3625,LITERATURE,61,"LITERATURE ","BASIC 1 GOLD",148,1023
3626,MATHEMATICS,62,MATHEMATICS,"BASIC 1 GOLD",148,1023
3627,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)",63,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","BASIC 1 GOLD",148,1023
3628,PHONICS,64,PHONICS,"BASIC 1 GOLD",148,1023
3629,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)",65,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","BASIC 1 GOLD",148,1023
3630,"QUANTITATIVE APPTITUDE",66,"QUANTITATIVE APPTITUDE","BASIC 1 GOLD",148,1023
3631,"VERBAL REASONING",68,"VERBAL REASONING","BASIC 1 GOLD",148,1023
3617,"BASIC SCIENCE AND TECHNOLOGY",70,"BASIC SCIENCE AND TECHNOLOGY","BASIC 2 DIAMOND",149,1024
3618,"CHRISTIAN RELIGIOUS STUDIES",71,"CHRISTIAN RELIGIOUS STUDIES","BASIC 2 DIAMOND",149,1024
3619,"CULTURAL AND CREATIVE ARTS",72,"CULTURAL AND CREATIVE ARTS","BASIC 2 DIAMOND",149,1024
3620,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)",73,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","BASIC 2 DIAMOND",149,1024
3621,FRENCH,74,FRENCH,"BASIC 2 DIAMOND",149,1024
3622,"HAND WRITING",75,"HAND WRITING","BASIC 2 DIAMOND",149,1024
3623,ICT,559,DICTATION,"BASIC 2 DIAMOND",149,1024
3624,"IGBO LANGUAGE",76,"IGBO LANGUAGE","BASIC 2 DIAMOND",149,1024
3625,LITERATURE,78,"LITERATURE ","BASIC 2 DIAMOND",149,1024
3626,MATHEMATICS,79,MATHEMATICS,"BASIC 2 DIAMOND",149,1024
3627,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)",80,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","BASIC 2 DIAMOND",149,1024
3628,PHONICS,81,PHONICS,"BASIC 2 DIAMOND",149,1024
3629,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)",82,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","BASIC 2 DIAMOND",149,1024
3630,"QUANTITATIVE APPTITUDE",83,"QUANTITATIVE APPTITUDE","BASIC 2 DIAMOND",149,1024
3631,"VERBAL REASONING",85,"VERBAL REASONING","BASIC 2 DIAMOND",149,1024
3617,"BASIC SCIENCE AND TECHNOLOGY",70,"BASIC SCIENCE AND TECHNOLOGY","BASIC 2 GOLD",149,1025
3618,"CHRISTIAN RELIGIOUS STUDIES",71,"CHRISTIAN RELIGIOUS STUDIES","BASIC 2 GOLD",149,1025
3619,"CULTURAL AND CREATIVE ARTS",72,"CULTURAL AND CREATIVE ARTS","BASIC 2 GOLD",149,1025
3620,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)",73,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","BASIC 2 GOLD",149,1025
3621,FRENCH,74,FRENCH,"BASIC 2 GOLD",149,1025
3622,"HAND WRITING",75,"HAND WRITING","BASIC 2 GOLD",149,1025
3623,ICT,559,DICTATION,"BASIC 2 GOLD",149,1025
3624,"IGBO LANGUAGE",76,"IGBO LANGUAGE","BASIC 2 GOLD",149,1025
3625,LITERATURE,78,"LITERATURE ","BASIC 2 GOLD",149,1025
3626,MATHEMATICS,79,MATHEMATICS,"BASIC 2 GOLD",149,1025
3627,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)",80,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","BASIC 2 GOLD",149,1025
3628,PHONICS,81,PHONICS,"BASIC 2 GOLD",149,1025
3629,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)",82,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","BASIC 2 GOLD",149,1025
3630,"QUANTITATIVE APPTITUDE",83,"QUANTITATIVE APPTITUDE","BASIC 2 GOLD",149,1025
3631,"VERBAL REASONING",85,"VERBAL REASONING","BASIC 2 GOLD",149,1025
3617,"BASIC SCIENCE AND TECHNOLOGY",87,"BASIC SCIENCE AND TECHNOLOGY","BASIC 3 DIAMOND",150,1026
3618,"CHRISTIAN RELIGIOUS STUDIES",88,"CHRISTIAN RELIGIOUS STUDIES","BASIC 3 DIAMOND",150,1026
3619,"CULTURAL AND CREATIVE ARTS",89,"CULTURAL AND CREATIVE ARTS","BASIC 3 DIAMOND",150,1026
3620,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)",90,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","BASIC 3 DIAMOND",150,1026
3621,FRENCH,91,FRENCH,"BASIC 3 DIAMOND",150,1026
3622,"HAND WRITING",92,"HAND WRITING","BASIC 3 DIAMOND",150,1026
3623,ICT,573,DICTATION,"BASIC 3 DIAMOND",150,1026
3624,"IGBO LANGUAGE",93,"IGBO LANGUAGE","BASIC 3 DIAMOND",150,1026
3625,LITERATURE,95,"LITERATURE ","BASIC 3 DIAMOND",150,1026
3626,MATHEMATICS,96,MATHEMATICS,"BASIC 3 DIAMOND",150,1026
