Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
3552,"CREATIVE DEVELOPMENT",7068,"CREATIVE DEVELOPMENT","PRE - SCHOOL  LILY",144,962
3553,"GENERAL KNOWLEDGE",7069,"GENERAL KNOWLEDGE","PRE - SCHOOL  LILY",144,962
3554,"IGBO LANGUAGE",7070,"IGBO LANGUAGE","PRE - SCHOOL  LILY",144,962
3557,LITERACY,843,LITERACY,"PRE - SCHOOL  LILY",144,962
3556,NUMERACY,844,NUMERACY,"PRE - SCHOOL  LILY",144,962
3558,"ORAL EXPRESSION",7071,"ORAL EXPRESSION","PRE - SCHOOL  LILY",144,962
3559,"POEMS AND RYHMES",7072,"POEMS AND RYHMES","PRE - SCHOOL  LILY",144,962
3560,"RELIGIOUS KNOWLEDGE",7073,"RELIGIOUS KNOWLEDGE","PRE - SCHOOL  LILY",144,962
3561,"WRITING SKILLS",7074,"WRITING SKILLS","PRE - SCHOOL  LILY",144,962
3552,"CREATIVE DEVELOPMENT",7068,"CREATIVE DEVELOPMENT","PRE - SCHOOL  NESTER",144,963
3553,"GENERAL KNOWLEDGE",7069,"GENERAL KNOWLEDGE","PRE - SCHOOL  NESTER",144,963
3554,"IGBO LANGUAGE",7070,"IGBO LANGUAGE","PRE - SCHOOL  NESTER",144,963
3557,LITERACY,843,LITERACY,"PRE - SCHOOL  NESTER",144,963
3556,NUMERACY,844,NUMERACY,"PRE - SCHOOL  NESTER",144,963
3558,"ORAL EXPRESSION",7071,"ORAL EXPRESSION","PRE - SCHOOL  NESTER",144,963
3559,"POEMS AND RYHMES",7072,"POEMS AND RYHMES","PRE - SCHOOL  NESTER",144,963
3560,"RELIGIOUS KNOWLEDGE",7073,"RELIGIOUS KNOWLEDGE","PRE - SCHOOL  NESTER",144,963
3561,"WRITING SKILLS",7074,"WRITING SKILLS","PRE - SCHOOL  NESTER",144,963
3562,"CREATIVE DEVELOPMENT",10,"CREATIVE DEVELOPMENT","NURSERY 1 IRIS",145,965
3563,"HEALTH EDUCATION",12,"HEALTH EDUCATION","NURSERY 1 IRIS",145,965
3564,"IGBO LANGUAGE",13,"IGBO LANGUAGE","NURSERY 1 IRIS",145,965
3566,"NATURE STUDIES",15,"NATURE STUDIES","NURSERY 1 IRIS",145,965
3567,NUMERACY,16,NUMERACY,"NURSERY 1 IRIS",145,965
3569,"RELIGIOUS KNOWLEDGE",20,"RELIGIOUS KNOWLEDGE","NURSERY 1 IRIS",145,965
3570,"SOCIAL STUDIES",21,"SOCIAL STUDIES","NURSERY 1 IRIS",145,965
3870,LITERACY,14,LITERACY,"NURSERY 1 IRIS",145,965
3571,"WRITING SKILLS",23,"WRITING SKILLS","NURSERY 1 IRIS",145,965
3568,"POEMS AND RYHMES",18,"POEMS AND RYHMES","NURSERY 1 IRIS",145,965
3562,"CREATIVE DEVELOPMENT",10,"CREATIVE DEVELOPMENT","NURSERY 1 IXORA",145,966
3563,"HEALTH EDUCATION",12,"HEALTH EDUCATION","NURSERY 1 IXORA",145,966
3564,"IGBO LANGUAGE",13,"IGBO LANGUAGE","NURSERY 1 IXORA",145,966
3870,LITERACY,14,LITERACY,"NURSERY 1 IXORA",145,966
3566,"NATURE STUDIES",15,"NATURE STUDIES","NURSERY 1 IXORA",145,966
3567,NUMERACY,16,NUMERACY,"NURSERY 1 IXORA",145,966
3568,"POEMS AND RYHMES",18,"POEMS AND RYHMES","NURSERY 1 IXORA",145,966
3569,"RELIGIOUS KNOWLEDGE",20,"RELIGIOUS KNOWLEDGE","NURSERY 1 IXORA",145,966
3570,"SOCIAL STUDIES",21,"SOCIAL STUDIES","NURSERY 1 IXORA",145,966
3571,"WRITING SKILLS",23,"WRITING SKILLS","NURSERY 1 IXORA",145,966
3562,"CREATIVE DEVELOPMENT",24,"CREATIVE DEVELOPMENT","NURSERY 2 IRIS",146,967
3563,"HEALTH EDUCATION",26,"HEALTH EDUCATION","NURSERY 2 IRIS",146,967
3564,"IGBO LANGUAGE",27,"IGBO LANGUAGE","NURSERY 2 IRIS",146,967
3870,LITERACY,28,LITERACY,"NURSERY 2 IRIS",146,967
3566,"NATURE STUDIES",29,"NATURE STUDIES","NURSERY 2 IRIS",146,967
3567,NUMERACY,30,NUMERACY,"NURSERY 2 IRIS",146,967
3568,"POEMS AND RYHMES",32,"POEMS AND RYHMES","NURSERY 2 IRIS",146,967
3569,"RELIGIOUS KNOWLEDGE",34,"RELIGIOUS KNOWLEDGE","NURSERY 2 IRIS",146,967
3570,"SOCIAL STUDIES",35,"SOCIAL STUDIES","NURSERY 2 IRIS",146,967
3571,"WRITING SKILLS",37,"WRITING SKILLS","NURSERY 2 IRIS",146,967
3562,"CREATIVE DEVELOPMENT",24,"CREATIVE DEVELOPMENT","NURSERY 2 IXORA",146,968
3563,"HEALTH EDUCATION",26,"HEALTH EDUCATION","NURSERY 2 IXORA",146,968
3564,"IGBO LANGUAGE",27,"IGBO LANGUAGE","NURSERY 2 IXORA",146,968
3870,LITERACY,28,LITERACY,"NURSERY 2 IXORA",146,968
