Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
5721,"CREATIVE DEVELOPMENT",1,"CREATIVE DEVELOPMENT","PG LILY",142,1444
5722,"GENERAL KNOWLEDGE",2,"GENERAL KNOWLEDGE","PG LILY",142,1444
5723,"IGBO LANGUAGE",3,"IGBO LANGUAGE","PG LILY",142,1444
5724,LITERACY,4,LITERACY,"PG LILY",142,1444
5725,NUMERACY,5,NUMERACY,"PG LILY",142,1444
5726,"ORAL EXPRESSION",6,"ORAL EXPRESSION","PG LILY",142,1444
5727,"POEMS AND RYHMES",7,"POEMS AND RYHMES","PG LILY",142,1444
5728,"RELIGIOUS KNOWLEDGE",8,"RELIGIOUS KNOWLEDGE","PG LILY",142,1444
5729,"WRITING SKILLS",9,"WRITING SKILLS","PG LILY",142,1444
5721,"CREATIVE DEVELOPMENT",1,"CREATIVE DEVELOPMENT","PG NESTER",142,1445
5722,"GENERAL KNOWLEDGE",2,"GENERAL KNOWLEDGE","PG NESTER",142,1445
5723,"IGBO LANGUAGE",3,"IGBO LANGUAGE","PG NESTER",142,1445
5724,LITERACY,4,LITERACY,"PG NESTER",142,1445
5725,NUMERACY,5,NUMERACY,"PG NESTER",142,1445
5726,"ORAL EXPRESSION",6,"ORAL EXPRESSION","PG NESTER",142,1445
5727,"POEMS AND RYHMES",7,"POEMS AND RYHMES","PG NESTER",142,1445
5728,"RELIGIOUS KNOWLEDGE",8,"RELIGIOUS KNOWLEDGE","PG NESTER",142,1445
5729,"WRITING SKILLS",9,"WRITING SKILLS","PG NESTER",142,1445
5730,"CREATIVE DEVELOPMENT",10,"CREATIVE DEVELOPMENT","NURSERY 1 IRIS",145,1447
5731,FRENCH,11,FRENCH,"NURSERY 1 IRIS",145,1447
5732,"HEALTH EDUCATION",12,"HEALTH EDUCATION","NURSERY 1 IRIS",145,1447
5733,"IGBO LANGUAGE",13,"IGBO LANGUAGE","NURSERY 1 IRIS",145,1447
5734,LITERACY,14,LITERACY,"NURSERY 1 IRIS",145,1447
5735,LITERATURE,7088,LITERATURE,"NURSERY 1 IRIS",145,1447
5736,"NATURE STUDIES",15,"NATURE STUDIES","NURSERY 1 IRIS",145,1447
5737,NUMERACY,16,NUMERACY,"NURSERY 1 IRIS",145,1447
5738,PHONICS,17,PHONICS,"NURSERY 1 IRIS",145,1447
5739,"POEMS AND RYHMES",18,"POEMS AND RYHMES","NURSERY 1 IRIS",145,1447
5740,"QUANTITATIVE APPTITUDE",19,"QUANTITATIVE APPTITUDE","NURSERY 1 IRIS",145,1447
5741,"RELIGIOUS KNOWLEDGE",20,"RELIGIOUS KNOWLEDGE","NURSERY 1 IRIS",145,1447
5742,"SOCIAL STUDIES",21,"SOCIAL STUDIES","NURSERY 1 IRIS",145,1447
5743,"VERBAL REASONING",22,"VERBAL REASONING","NURSERY 1 IRIS",145,1447
5744,"WRITING SKILLS",23,"WRITING SKILLS","NURSERY 1 IRIS",145,1447
5730,"CREATIVE DEVELOPMENT",24,"CREATIVE DEVELOPMENT","NURSERY 2 IRIS",146,1450
5731,FRENCH,25,FRENCH,"NURSERY 2 IRIS",146,1450
5732,"HEALTH EDUCATION",26,"HEALTH EDUCATION","NURSERY 2 IRIS",146,1450
5733,"IGBO LANGUAGE",27,"IGBO LANGUAGE","NURSERY 2 IRIS",146,1450
5734,LITERACY,28,LITERACY,"NURSERY 2 IRIS",146,1450
5735,LITERATURE,7089,LITERATURE,"NURSERY 2 IRIS",146,1450
5736,"NATURE STUDIES",29,"NATURE STUDIES","NURSERY 2 IRIS",146,1450
5737,NUMERACY,30,NUMERACY,"NURSERY 2 IRIS",146,1450
5738,PHONICS,31,PHONICS,"NURSERY 2 IRIS",146,1450
5739,"POEMS AND RYHMES",32,"POEMS AND RYHMES","NURSERY 2 IRIS",146,1450
