Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
682,"HAND WRITING",772,"HAND WRITING",PRE-NURSERY,144,139
680,NUMERACY,844,NUMERACY,PRE-NURSERY,144,139
683,SONGS/RHYMES,773,SONGS/RHYMES,PRE-NURSERY,144,139
688,"CULTURAL AND CREATIVE ART",7140,"CULTURAL AND CREATIVE ART",PRE-NURSERY,144,139
679,LITERACY,843,LITERACY,PRE-NURSERY,144,139
719,C.R.S/I.R.S,771,C.R.S/I.R.S,PRE-NURSERY,144,139
691,SCIENCE,774,"COMPUTER SCIENCE",PRE-NURSERY,144,139
690,"HEALTH HABIT",6935,"PHYSICAL AND HEALTH HABIT",PRE-NURSERY,144,139
4545,"CURRENT AFFAIRS",7141,"CURRENT AFFAIRS",PRE-NURSERY,144,139
694,FRENCH,7142,FRENCH,PRE-NURSERY,144,139
686,"MORAL INSTRUCTIONS",7143,"MORAL INSTRUCTIONS",PRE-NURSERY,144,139
689,"SOCIAL HABIT",6936,"SOCIAL HABIT",PRE-NURSERY,144,139
682,"HAND WRITING",514,"HAND WRITING","NURSERY 1",145,140
690,"HEALTH HABIT",6885,"HEALTH HABIT","NURSERY 1",145,140
680,NUMERACY,16,NUMERACY,"NURSERY 1",145,140
691,SCIENCE,509,"AGRICULTURAL SCIENCE","NURSERY 1",145,140
688,"CULTURAL AND CREATIVE ART",6955,"CULTURAL AND CREATIVE ART","NURSERY 1",145,140
679,LITERACY,14,LITERACY,"NURSERY 1",145,140
686,"MORAL INSTRUCTIONS",7144,"MORAL INSTRUCTIONS","NURSERY 1",145,140
689,"SOCIAL HABIT",6887,"SOCIAL HABIT","NURSERY 1",145,140
683,SONGS/RHYMES,792,SONGS/RHYMES,"NURSERY 1",145,140
4545,"CURRENT AFFAIRS",7145,"CURRENT AFFAIRS","NURSERY 1",145,140
694,FRENCH,11,FRENCH,"NURSERY 1",145,140
719,C.R.S/I.R.S,6950,C.R.S/I.R.S,"NURSERY 2",146,141
682,"HAND WRITING",530,"HAND WRITING","NURSERY 2",146,141
690,"HEALTH HABIT",6891,"HEALTH HABIT","NURSERY 2",146,141
680,NUMERACY,30,NUMERACY,"NURSERY 2",146,141
691,SCIENCE,524,"AGRICULTURAL SCIENCE","NURSERY 2",146,141
683,SONGS/RHYMES,762,SONGS/RHYMES,"NURSERY 2",146,141
688,"CULTURAL AND CREATIVE ART",7146,"CULTURAL AND CREATIVE ART","NURSERY 2",146,141
679,LITERACY,28,LITERACY,"NURSERY 2",146,141
689,"SOCIAL HABIT",6894,"SOCIAL HABIT","NURSERY 2",146,141
2351,"COMPUTER SCIENCE",763,"COMPUTER SCIENCE","NURSERY 2",146,141
4545,"CURRENT AFFAIRS",7147,"CURRENT AFFAIRS","NURSERY 2",146,141
694,FRENCH,25,FRENCH,"NURSERY 2",146,141
704,FRENCH,57,FRENCH,"GRADE 1",148,142
703,MUSIC,649,MUSIC,"GRADE 1",148,142
696,"ENGLISH LANGUAGE",541,"ENGLISH LANGUAGE","GRADE 1",148,142
726,"HOME ECONOMICS",65,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","GRADE 1",148,142
723,"BASIC SCIENCE",53,"BASIC SCIENCE AND TECHNOLOGY","GRADE 1",148,142
722,"CIVIC EDUCATION",63,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","GRADE 1",148,142
695,MATHEMATICS,62,MATHEMATICS,"GRADE 1",148,142
728,"PHYSICAL AND HEALTH EDUCATION",828,"PHYSICAL AND HEALTH EDUCATION","GRADE 1",148,142
3776,"SOCIAL STUDIES",63,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","GRADE 1",148,142
721,"AGRICULTURAL SCIENCE",538,"AGRICULTURAL SCIENCE","GRADE 1",148,142
720,"COMPUTER SCIENCE",539,"COMPUTER SCIENCE","GRADE 1",148,142
727,"CULTURAL AND CREATIVE ART",55,"CULTURAL AND CREATIVE ARTS","GRADE 1",148,142
701,C.R.S/I.R.S,6943,C.R.S/I.R.S,"GRADE 1",148,142
3874,HISTORY,646,HISTORY,"GRADE 1",148,142
700,C.C.A,,,"GRADE 2",149,143
704,FRENCH,74,FRENCH,"GRADE 2",149,143
696,"ENGLISH LANGUAGE",553,"ENGLISH LANGUAGE","GRADE 2",149,143
695,MATHEMATICS,79,MATHEMATICS,"GRADE 2",149,143
701,C.R.S/I.R.S,6952,C.R.S/I.R.S,"GRADE 2",149,143
726,"HOME ECONOMICS",82,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","GRADE 2",149,143
703,MUSIC,658,MUSIC,"GRADE 2",149,143
725,"SOCIAL STUDIES",80,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","GRADE 2",149,143
721,"AGRICULTURAL SCIENCE",550,"AGRICULTURAL SCIENCE","GRADE 2",149,143
722,"CIVIC EDUCATION",80,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","GRADE 2",149,143
720,"COMPUTER SCIENCE",551,"COMPUTER SCIENCE","GRADE 2",149,143
728,"PHYSICAL AND HEALTH EDUCATION",825,"PHYSICAL AND HEALTH EDUCATION","GRADE 2",149,143
