Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
4200,"ENGLISH LANGUAGE",142,"ENGLISH LANGUAGE","JSS 1 A",154,1158
4201,MATHEMATICS,146,MATHEMATICS,"JSS 1 A",154,1158
4203,"CIVIC EDUCATION",617,"CIVIC EDUCATION","JSS 1 A",154,1158
4202,"AGRICULTURAL SCIENCE",614,"AGRICULTURAL SCIENCE","JSS 1 A",154,1158
4205,"BUSINESS STUDIES",139,"BUSINESS STUDIES","JSS 1 A",154,1158
4207,"CHRISTIAN RELIGIOUS STUDIES",7085,"CHRISTIAN RELIGIOUS STUDIES","JSS 1 A",154,1158
4210,"SOCIAL STUDIES",624,"SOCIAL STUDIES","JSS 1 A",154,1158
4206,CCA,7004,CCA,"JSS 1 A",154,1158
4208,FRENCH,143,FRENCH,"JSS 1 A",154,1158
4228,"HOME ECONOMICS",620,"HOME ECONOMICS","JSS 1 A",154,1158
4204,"BASIC SCIENCE AND TECHNOLOGY",138,"BASIC SCIENCE AND TECHNOLOGY","JSS 1 A",154,1158
5555,HISTORY,619,HISTORY,"JSS 1 A",154,1158
4200,"ENGLISH LANGUAGE",153,"ENGLISH LANGUAGE","JSS 2A",155,1159
4201,MATHEMATICS,157,MATHEMATICS,"JSS 2A",155,1159
4202,"AGRICULTURAL SCIENCE",784,"AGRICULTURAL SCIENCE","JSS 2A",155,1159
4205,"BUSINESS STUDIES",150,"BUSINESS STUDIES","JSS 2A",155,1159
4206,CCA,7005,CCA,"JSS 2A",155,1159
4207,"CHRISTIAN RELIGIOUS STUDIES",7152,"CHRISTIAN RELIGIOUS STUDIES","JSS 2A",155,1159
4203,"CIVIC EDUCATION",786,"CIVIC EDUCATION","JSS 2A",155,1159
4208,FRENCH,154,FRENCH,"JSS 2A",155,1159
4210,"SOCIAL STUDIES",783,"SOCIAL STUDIES","JSS 2A",155,1159
4228,"HOME ECONOMICS",781,"HOME ECONOMICS","JSS 2A",155,1159
4204,"BASIC SCIENCE AND TECHNOLOGY",149,"BASIC SCIENCE AND TECHNOLOGY","JSS 2A",155,1159
5555,HISTORY,780,HISTORY,"JSS 2A",155,1159
4200,"ENGLISH LANGUAGE",142,"ENGLISH LANGUAGE","JSS 1 B",154,1160
4201,MATHEMATICS,146,MATHEMATICS,"JSS 1 B",154,1160
4202,"AGRICULTURAL SCIENCE",614,"AGRICULTURAL SCIENCE","JSS 1 B",154,1160
4205,"BUSINESS STUDIES",139,"BUSINESS STUDIES","JSS 1 B",154,1160
4206,CCA,7004,CCA,"JSS 1 B",154,1160
4207,"CHRISTIAN RELIGIOUS STUDIES",7085,"CHRISTIAN RELIGIOUS STUDIES","JSS 1 B",154,1160
4203,"CIVIC EDUCATION",617,"CIVIC EDUCATION","JSS 1 B",154,1160
4208,FRENCH,143,FRENCH,"JSS 1 B",154,1160
4210,"SOCIAL STUDIES",624,"SOCIAL STUDIES","JSS 1 B",154,1160
4228,"HOME ECONOMICS",620,"HOME ECONOMICS","JSS 1 B",154,1160
4204,"BASIC SCIENCE AND TECHNOLOGY",138,"BASIC SCIENCE AND TECHNOLOGY","JSS 1 B",154,1160
5555,HISTORY,619,HISTORY,"JSS 1 B",154,1160
4200,"ENGLISH LANGUAGE",7153,"ENGLISH LANGUAGE","JSS 3 A",153,1161
4201,MATHEMATICS,130,MATHEMATICS,"JSS 3 A",153,1161
4202,"AGRICULTURAL SCIENCE",7154,"AGRICULTURAL SCIENCE","JSS 3 A",153,1161
4205,"BUSINESS STUDIES",7155,"BUSINESS STUDIES","JSS 3 A",153,1161
4206,CCA,7156,CCA,"JSS 3 A",153,1161
4207,"CHRISTIAN RELIGIOUS STUDIES",122,"CHRISTIAN RELIGIOUS STUDIES","JSS 3 A",153,1161
4203,"CIVIC EDUCATION",131,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","JSS 3 A",153,1161
4228,"HOME ECONOMICS",133,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","JSS 3 A",153,1161
4210,"SOCIAL STUDIES",131,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","JSS 3 A",153,1161
4208,FRENCH,125,FRENCH,"JSS 3 A",153,1161
4204,"BASIC SCIENCE AND TECHNOLOGY",121,"BASIC SCIENCE AND TECHNOLOGY","JSS 3 A",153,1161
5555,HISTORY,7157,HISTORY,"JSS 3 A",153,1161
4219,"ENGLISH LANGUAGE",179,"ENGLISH LANGUAGE","SS 1B",157,1163
4226,MATHEMATICS,184,MATHEMATICS,"SS 1B",157,1163
4227,PHYSICS,185,PHYSICS,"SS 1B",157,1163
4213,CHEMISTRY,174,CHEMISTRY,"SS 1B",157,1163
