Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
5986,"AGRICULTURAL SCIENCE",538,"AGRICULTURAL SCIENCE","GRADE 1",148,1547
5987,"BASIC SCIENCE",53,"BASIC SCIENCE AND TECHNOLOGY","GRADE 1",148,1547
5989,"CIVIC EDUCATION",63,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","GRADE 1",148,1547
5991,"ENGLISH STUDIES",56,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","GRADE 1",148,1547
5992,FRENCH,57,FRENCH,"GRADE 1",148,1547
5993,HISTORY,646,HISTORY,"GRADE 1",148,1547
5994,"HOME ECONNOMICS",7256,"HOME ECONNOMICS","GRADE 1",148,1547
5996,MATHEMATICS,62,MATHEMATICS,"GRADE 1",148,1547
5998,"SOCIAL STUDIES",63,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","GRADE 1",148,1547
5999,"VOCATIONAL APTITUDE",69,"VOCATIONAL APTITUDE","GRADE 1",148,1547
6196,C.C.A,7148,C.C.A,"GRADE 1",148,1547
6197,C.R.S,6943,C.R.S/I.R.S,"GRADE 1",148,1547
6198,I.C.T,,,"GRADE 1",148,1547
6199,P.H.E,544,P.H.E,"GRADE 1",148,1547
5986,"AGRICULTURAL SCIENCE",563,"AGRICULTURAL SCIENCE","GRADE 3",150,1548
5987,"BASIC SCIENCE",87,"BASIC SCIENCE AND TECHNOLOGY","GRADE 3",150,1548
5989,"CIVIC EDUCATION",97,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","GRADE 3",150,1548
5991,"ENGLISH STUDIES",90,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","GRADE 3",150,1548
5992,FRENCH,91,FRENCH,"GRADE 3",150,1548
5993,HISTORY,662,HISTORY,"GRADE 3",150,1548
5994,"HOME ECONNOMICS",7252,"HOME ECONNOMICS","GRADE 3",150,1548
5996,MATHEMATICS,96,MATHEMATICS,"GRADE 3",150,1548
5998,"SOCIAL STUDIES",97,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","GRADE 3",150,1548
5999,"VOCATIONAL APTITUDE",103,"VOCATIONAL APTITUDE","GRADE 3",150,1548
6196,C.C.A,7149,C.C.A,"GRADE 3",150,1548
6197,C.R.S,564,C.R.S,"GRADE 3",150,1548
6198,I.C.T,,,"GRADE 3",150,1548
6199,P.H.E,570,P.H.E,"GRADE 3",150,1548
6022,"ART AND CRAFT",7462,"ART AND CRAFT","FUN CLASS",143,1549
6018,"COMMUNICATION AND VOCABULARY SKILLS",7463,"COMMUNICATION AND VOCABULARY SKILLS","FUN CLASS",143,1549
6024,"EARLY SCIENCE",7464,"EARLY SCIENCE","FUN CLASS",143,1549
6017,"LETTER WORK AND SOUND",7465,"LETTER WORK AND SOUND","FUN CLASS",143,1549
6021,"MY BIBLE AND I",7466,"MY BIBLE AND I","FUN CLASS",143,1549
6016,"NUMERACY WORK AND NUMERACY READINESS",7467,"NUMERACY WORK AND NUMERACY READINESS","FUN CLASS",143,1549
6023,"PERSONAL SOCIAL AND EMOTIONAL DEVELOPMENT",7468,"PERSONAL SOCIAL AND EMOTIONAL DEVELOPMENT","FUN CLASS",143,1549
6020,"PRACTICAL LIFE GRACE AND COURTESY",7469,"PRACTICAL LIFE GRACE AND COURTESY","FUN CLASS",143,1549
6019,"PRE-WRITING ACTIVITIES",7470,"PRE-WRITING ACTIVITIES","FUN CLASS",143,1549
