Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
2323,"BUSINESS STUDIES",139,"BUSINESS STUDIES","J.S.S 1",154,597
2331,HISTORY,619,HISTORY,"J.S.S 1",154,597
2330,"SECURITY EDUCATION",701," SECURITY EDUCATION","J.S.S 1",154,597
2322,"COMPUTER SCIENCE",702,"COMPUTER SCIENCE","J.S.S 1",154,597
2329,"CULTURAL AND CREATIVE ARTS",141,"CULTURAL AND CREATIVE ARTS","J.S.S 1",154,597
2328,"ENGLISH STUDIES",703,"ENGLISH STUDIES","J.S.S 1",154,597
2332,I.R.S,704,I.R.S,"J.S.S 1",154,597
2321,MATHEMATICS,146,MATHEMATICS,"J.S.S 1",154,597
2320,FRENCH,143,FRENCH,"J.S.S 1",154,597
2850,"BASIC TECHNOLOGY",615,"BASIC TECHNOLOGY","J.S.S 1",154,597
2852,"HOME ECONOMICS",620,"HOME ECONOMICS","J.S.S 1",154,597
2851,"SOCIAL STUDIES",624,"SOCIAL STUDIES","J.S.S 1",154,597
2848,"AGRICULTURAL SCIENCE",614,"AGRICULTURAL SCIENCE","J.S.S 1",154,597
2849,"BASIC SCIENCE",138,"BASIC SCIENCE AND TECHNOLOGY","J.S.S 1",154,597
2855,C.R.S,616,C.R.S,"J.S.S 1",154,597
2854,"CIVIC EDUCATION",617,"CIVIC EDUCATION","J.S.S 1",154,597
2853,"PHYSICAL AND HEALTH EDUCATION",622,"PHYSICAL AND HEALTH EDUCATION","J.S.S 1",154,597
4537,"IGBO LANGUAGE",144,"IGBO LANGUAGE","J.S.S 1",154,597
6158,HAUSA,618,HAUSA,"J.S.S 1",154,597
2343,"FURTHER MATHEMATICS",708,"FURTHER MATHEMATICS","S.S 1",157,598
2341,BIOLOGY,173,BIOLOGY,"S.S 1",157,598
2336,CHEMISTRY,174,CHEMISTRY,"S.S 1",157,598
2342,"CHRISTIAN RELIGIOUS STUDIES",175,"CHRISTIAN RELIGIOUS STUDIES","S.S 1",157,598
2346,"CIVIC EDUCATION",176,"CIVIC EDUCATION","S.S 1",157,598
2345,COMMERCE,709,COMMERCE,"S.S 1",157,598
2340,"COMPUTER SCIENCE",710,"COMPUTER SCIENCE","S.S 1",157,598
2337,ECONOMICS,178,ECONOMICS,"S.S 1",157,598
2339,GEOGRAPHY,711,GEOGRAPHY,"S.S 1",157,598
2338,GOVERNMENT,180,GOVERNMENT,"S.S 1",157,598
2350,"ISLAMIC RELIGIOUS STUDIES",712,"ISLAMIC RELIGIOUS STUDIES","S.S 1",157,598
2348,"LITERATURE IN ENGLISH",182,"LITERATURE IN ENGLISH ","S.S 1",157,598
2333,MATHEMATICS,184,MATHEMATICS,"S.S 1",157,598
2335,PHYSICS,185,PHYSICS,"S.S 1",157,598
2352,FISHERY,713,FISHERY,"S.S 1",157,598
2334,"ENGLISH LANGUAGE",179,"ENGLISH LANGUAGE","S.S 1",157,598
2344,"TECHNICAL DRAWING",714,"TECHNICAL DRAWING","S.S 1",157,598
2349,"FINANCIAL ACCOUNTING",715,"FINANCIAL ACCOUNTING","S.S 1",157,598
2343,"FURTHER MATHEMATICS",716,"FURTHER MATHEMATICS","S.S 2",158,599
2341,BIOLOGY,187,BIOLOGY,"S.S 2",158,599
2336,CHEMISTRY,188,CHEMISTRY,"S.S 2",158,599
2342,"CHRISTIAN RELIGIOUS STUDIES",189,"CHRISTIAN RELIGIOUS STUDIES","S.S 2",158,599
2346,"CIVIC EDUCATION",190,"CIVIC EDUCATION","S.S 2",158,599
2345,COMMERCE,717,COMMERCE,"S.S 2",158,599
2340,"COMPUTER SCIENCE",718,"COMPUTER SCIENCE","S.S 2",158,599
2337,ECONOMICS,192,ECONOMICS,"S.S 2",158,599
2334,"ENGLISH LANGUAGE",193,"ENGLISH LANGUAGE","S.S 2",158,599
2352,FISHERY,719,FISHERY,"S.S 2",158,599
2339,GEOGRAPHY,720,GEOGRAPHY,"S.S 2",158,599
2338,GOVERNMENT,194,GOVERNMENT,"S.S 2",158,599
2350,"ISLAMIC RELIGIOUS STUDIES",721,"ISLAMIC RELIGIOUS STUDIES","S.S 2",158,599
2348,"LITERATURE IN ENGLISH",196,"LITERATURE IN ENGLISH ","S.S 2",158,599
2333,MATHEMATICS,198,MATHEMATICS,"S.S 2",158,599
2335,PHYSICS,199,PHYSICS,"S.S 2",158,599
