Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
1386,"FINE ART",7210,"FINE ART","Pre-School Lily",144,341
1389,"HAND WRITING",772,"HAND WRITING","Pre-School Lily",144,341
1385,"HEALTH HABIT",6935,"PHYSICAL AND HEALTH HABIT","Pre-School Lily",144,341
1392,PHONICS,846,PHONICS,"Pre-School Lily",144,341
1387,RHYMES,773,SONGS/RHYMES,"Pre-School Lily",144,341
1388,"CHRISTIAN RELIGIOUS STUDIES",7208,"CHRISTIAN RELIGIOUS STUDIES","Pre-School Lily",144,341
1317,"GENERAL STUDIES",7207,"GENERAL STUDIES","Pre-School Lily",144,341
1383,"LETTER WORK",776,"LETTER WORK","Pre-School Lily",144,341
1390,"MORAL INSTRUCTIONS",7143,"MORAL INSTRUCTIONS","Pre-School Lily",144,341
1318,"NATURE STUDIES",7211,"NATURE STUDIES","Pre-School Lily",144,341
1384,"NUMBER WORK",777,"NUMBER WORK","Pre-School Lily",144,341
1391,"SOCIAL HABIT",6936,"SOCIAL HABIT","Pre-School Lily",144,341
1386,"FINE ART",7210,"FINE ART","Pre-School Daisy",144,342
1389,"HAND WRITING",772,"HAND WRITING","Pre-School Daisy",144,342
1385,"HEALTH HABIT",6935,"PHYSICAL AND HEALTH HABIT","Pre-School Daisy",144,342
1392,PHONICS,846,PHONICS,"Pre-School Daisy",144,342
1387,RHYMES,773,SONGS/RHYMES,"Pre-School Daisy",144,342
1388,"CHRISTIAN RELIGIOUS STUDIES",7208,"CHRISTIAN RELIGIOUS STUDIES","Pre-School Daisy",144,342
1317,"GENERAL STUDIES",7207,"GENERAL STUDIES","Pre-School Daisy",144,342
1383,"LETTER WORK",776,"LETTER WORK","Pre-School Daisy",144,342
1390,"MORAL INSTRUCTIONS",7143,"MORAL INSTRUCTIONS","Pre-School Daisy",144,342
1318,"NATURE STUDIES",7211,"NATURE STUDIES","Pre-School Daisy",144,342
1384,"NUMBER WORK",777,"NUMBER WORK","Pre-School Daisy",144,342
1391,"SOCIAL HABIT",6936,"SOCIAL HABIT","Pre-School Daisy",144,342
1411,"FINE ART",7182,"FINE ART","Grade 3 Primerose",150,343
1412,HISTORY,662,HISTORY,"Grade 3 Primerose",150,343
1415,PHONICS,98,PHONICS,"Grade 3 Primerose",150,343
1416,R.V.E,7181,R.V.E,"Grade 3 Primerose",150,343
1414,"BASIC SCIENCE AND TECHNOLOGY",87,"BASIC SCIENCE AND TECHNOLOGY","Grade 3 Primerose",150,343
1418,"CHRISTIAN RELIGIOUS KNOWLEDGE",7180,"CHRISTIAN RELIGIOUS KNOWLEDGE","Grade 3 Primerose",150,343
1407,"ENGLISH LANGUAGE",567,"ENGLISH LANGUAGE","Grade 3 Primerose",150,343
