Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
3859,"AGRICULTURAL SCIENCE",577,"AGRICULTURAL SCIENCE","Basic 4",151,1059
3849,"BASIC HISTORY",800,"BASIC HISTORY","Basic 4",151,1059
3860,"BASIC SCIENCE",104,"BASIC SCIENCE AND TECHNOLOGY","Basic 4",151,1059
3864,"BASIC TECHNOLOGY",801,"BASIC TECHNOLOGY","Basic 4",151,1059
3855,"CIVIC EDUCATION",114,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","Basic 4",151,1059
3856,CRS/IRS,802,CRS/IRS,"Basic 4",151,1059
3865,CULTURAL,106,"CULTURAL AND CREATIVE ARTS","Basic 4",151,1059
3850,"ENGLISH LANGUAGE",581,"ENGLISH LANGUAGE","Basic 4",151,1059
3861,FRENCH,108,FRENCH,"Basic 4",151,1059
3857,"HAND WRITING",109,"HAND WRITING","Basic 4",151,1059
3866,HAUSA,582,HAUSA,"Basic 4",151,1059
3851,"HOME ECONOMICS",116,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","Basic 4",151,1059
3867,"INFORMATION COMMUNICATION TECHNOLOGY",111,"INFORMATION COMMUNICATION TECHNOLOGY","Basic 4",151,1059
3862,MATHEMATICS,113,MATHEMATICS,"Basic 4",151,1059
3868,"NOBLE SPEECH",803,"NOBLE SPEECH","Basic 4",151,1059
3863,"PHYSICAL AND HEALTH EDUCATION",804,"PHYSICAL AND HEALTH EDUCATION","Basic 4",151,1059
3858,"QUANTITATIVE REASONING",118,"QUANTITATIVE REASONING","Basic 4",151,1059
3852,"SECURITY EDUCATION",673,"SECURITY EDUCATION","Basic 4",151,1059
3853,"SOCIAL STUDIES",114,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","Basic 4",151,1059
3854,"VERBAL REASONING",119,"VERBAL REASONING","Basic 4",151,1059
3859,"AGRICULTURAL SCIENCE",590,"AGRICULTURAL SCIENCE","Basic 5",152,1060
3849,"BASIC HISTORY",805,"BASIC HISTORY","Basic 5",152,1060
3860,"BASIC SCIENCE",591,"BASIC SCIENCE","Basic 5",152,1060
3864,"BASIC TECHNOLOGY",806,"BASIC TECHNOLOGY","Basic 5",152,1060
3855,"CIVIC EDUCATION",593,"CIVIC EDUCATION","Basic 5",152,1060
3856,CRS/IRS,807,CRS/IRS,"Basic 5",152,1060
3850,"ENGLISH LANGUAGE",597,"ENGLISH LANGUAGE","Basic 5",152,1060
3857,"HAND WRITING",599,"HAND WRITING ","Basic 5",152,1060
3851,"HOME ECONOMICS",601,"HOME ECONOMICS","Basic 5",152,1060
3867,"INFORMATION COMMUNICATION TECHNOLOGY",808,"INFORMATION COMMUNICATION TECHNOLOGY","Basic 5",152,1060
3862,MATHEMATICS,603,MATHEMATICS,"Basic 5",152,1060
3863,"PHYSICAL AND HEALTH EDUCATION",809,"PHYSICAL AND HEALTH EDUCATION","Basic 5",152,1060
3858,"QUANTITATIVE REASONING",605,"QUANTITATIVE REASONING ","Basic 5",152,1060
3852,"SECURITY EDUCATION",683,"SECURITY EDUCATION","Basic 5",152,1060
3853,"SOCIAL STUDIES",606,"SOCIAL STUDIES","Basic 5",152,1060
3854,"VERBAL REASONING",607,"VERBAL REASONING","Basic 5",152,1060
3866,HAUSA,600,HAUSA,"Basic 5",152,1060
3861,FRENCH,598,FRENCH,"Basic 5",152,1060
3884,"CULTURAL AND CREATIVE ART",675,"CULTURAL AND CREATIVE ARTS","Basic 5",152,1060
3818,"AGRICULTURAL SCIENCE",614,"AGRICULTURAL SCIENCE","JSS 1",154,1061
3819,"BASIC SCIENCE",138,"BASIC SCIENCE AND TECHNOLOGY","JSS 1",154,1061
3820,"BASIC TECHNOLOGY",615,"BASIC TECHNOLOGY","JSS 1",154,1061
3821,"BUSINESS STUDIES",139,"BUSINESS STUDIES","JSS 1",154,1061
3822,"CIVIC EDUCATION",617,"CIVIC EDUCATION","JSS 1",154,1061
3823,CRS/IRS,810,CRS/IRS,"JSS 1",154,1061
