Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
1665,"BASIC TECHNOLOGY",7212,"BASIC TECHNOLOGY",PRE-NURSERY,144,279
1670,FRENCH,7142,FRENCH,PRE-NURSERY,144,279
1669,"HAND WRITING",772,"HAND WRITING",PRE-NURSERY,144,279
1667,NUMERACY,844,NUMERACY,PRE-NURSERY,144,279
1664,RHYMES,773,SONGS/RHYMES,PRE-NURSERY,144,279
1668,"CREATIVE ART",840,"CREATIVE ARTS",PRE-NURSERY,144,279
1666,LITERACY,843,LITERACY,PRE-NURSERY,144,279
1671,"PEOPLE AND COMMUNITY",7213,"PEOPLE AND COMMUNITY",PRE-NURSERY,144,279
1662,"QUANTITATIVE REASONING",7214,"QUANTITATIVE REASONING",PRE-NURSERY,144,279
1672,"UNDERSTANDING THE WORLD",7215,"UNDERSTANDING THE WORLD",PRE-NURSERY,144,279
1663,"VERBAL REASONING",7216,"VERBAL REASONING",PRE-NURSERY,144,279
1670,FRENCH,7142,FRENCH,"Nursery ",144,280
1669,"HAND WRITING",772,"HAND WRITING","Nursery ",144,280
1667,NUMERACY,844,NUMERACY,"Nursery ",144,280
1664,RHYMES,773,SONGS/RHYMES,"Nursery ",144,280
1668,"CREATIVE ART",840,"CREATIVE ARTS","Nursery ",144,280
1666,LITERACY,843,LITERACY,"Nursery ",144,280
1671,"PEOPLE AND COMMUNITY",7213,"PEOPLE AND COMMUNITY","Nursery ",144,280
1662,"QUANTITATIVE REASONING",7214,"QUANTITATIVE REASONING","Nursery ",144,280
1663,"VERBAL REASONING",7216,"VERBAL REASONING","Nursery ",144,280
1670,FRENCH,7142,FRENCH,RECEPTION,144,281
1669,"HAND WRITING",772,"HAND WRITING",RECEPTION,144,281
1667,NUMERACY,844,NUMERACY,RECEPTION,144,281
1664,RHYMES,773,SONGS/RHYMES,RECEPTION,144,281
1668,"CREATIVE ART",840,"CREATIVE ARTS",RECEPTION,144,281
1666,LITERACY,843,LITERACY,RECEPTION,144,281
1671,"PEOPLE AND COMMUNITY",7213,"PEOPLE AND COMMUNITY",RECEPTION,144,281
1662,"QUANTITATIVE REASONING",7214,"QUANTITATIVE REASONING",RECEPTION,144,281
