Old_Subject_Id,Subject_Title,New_Subject_Id,New_Subject_Title,Class_Name,Class_Template_Id,Class_Id
4814,"ABC COLOURING",7259,"ABC COLOURING",PRE-NURSERY,144,1266
4812,"CREATIVE ART",840,"CREATIVE ARTS",PRE-NURSERY,144,1266
4808,CRS,841,CRS/IRS,PRE-NURSERY,144,1266
4813,"HAND WRITING",772,"HAND WRITING",PRE-NURSERY,144,1266
4810,"HEALTH HABIT",6935,"PHYSICAL AND HEALTH HABIT",PRE-NURSERY,144,1266
4805,"LANGUAGE SKILLS",7260,"LANGUAGE SKILLS",PRE-NURSERY,144,1266
4811,"LETTER WORK",776,"LETTER WORK",PRE-NURSERY,144,1266
4804,"MATHEMATICS SKILL",7261,"MATHEMATICS SKILL",PRE-NURSERY,144,1266
4806,"NUMBER WORK",777,"NUMBER WORK",PRE-NURSERY,144,1266
4815,PHONICS,846,PHONICS,PRE-NURSERY,144,1266
4816,RHYMES,773,SONGS/RHYMES,PRE-NURSERY,144,1266
4807,"SCIENCE HABIT",7262,"SCIENCE HABIT",PRE-NURSERY,144,1266
4809,"SOCIAL HABIT",6936,"SOCIAL HABIT",PRE-NURSERY,144,1266
4814,"ABC COLOURING",7263,"ABC COLOURING","NURSERY ONE",145,1267
4812,"CREATIVE ART",831,"CREATIVE ARTS","NURSERY ONE",145,1267
4808,CRS,794,CRS/IRS,"NURSERY ONE",145,1267
4813,"HAND WRITING",514,"HAND WRITING","NURSERY ONE",145,1267
4810,"HEALTH HABIT",6885,"HEALTH HABIT","NURSERY ONE",145,1267
4805,"LANGUAGE SKILLS",7264,"LANGUAGE SKILLS","NURSERY ONE",145,1267
4811,"LETTER WORK",796,"LETTER WORK","NURSERY ONE",145,1267
4804,"MATHEMATICS SKILL",7265,"MATHEMATICS SKILL","NURSERY ONE",145,1267
4806,"NUMBER WORK",797,"NUMBER WORK","NURSERY ONE",145,1267
4815,PHONICS,17,PHONICS,"NURSERY ONE",145,1267
4818,"QUANTITATIVE REASONING",520,"QUANTITATIVE REASONING","NURSERY ONE",145,1267
4816,RHYMES,792,SONGS/RHYMES,"NURSERY ONE",145,1267
4807,"SCIENCE HABIT",7266,"SCIENCE HABIT","NURSERY ONE",145,1267
4809,"SOCIAL HABIT",6887,"SOCIAL HABIT","NURSERY ONE",145,1267
4817,"VERBAL REASONING",22,"VERBAL REASONING","NURSERY ONE",145,1267
4814,"ABC COLOURING",7267,"ABC COLOURING","NURSERY TWO",146,1268
4812,"CREATIVE ART",848,"CREATIVE ARTS","NURSERY TWO",146,1268
4808,CRS,764,CRS/IRS,"NURSERY TWO",146,1268
4819,"ENGLISH SKILLS",7268,"ENGLISH SKILLS","NURSERY TWO",146,1268
4813,"HAND WRITING",530,"HAND WRITING","NURSERY TWO",146,1268
4810,"HEALTH HABIT",6891,"HEALTH HABIT","NURSERY TWO",146,1268
4811,"LETTER WORK",766,"LETTER WORK","NURSERY TWO",146,1268
4804,"MATHEMATICS SKILL",7269,"MATHEMATICS SKILL","NURSERY TWO",146,1268
4806,"NUMBER WORK",768,"NUMBER WORK","NURSERY TWO",146,1268
4815,PHONICS,31,PHONICS,"NURSERY TWO",146,1268
4818,"QUANTITATIVE REASONING",535,"QUANTITATIVE REASONING","NURSERY TWO",146,1268
4816,RHYMES,762,SONGS/RHYMES,"NURSERY TWO",146,1268
4807,"SCIENCE HABIT",7270,"SCIENCE HABIT","NURSERY TWO",146,1268
4809,"SOCIAL HABIT",6894,"SOCIAL HABIT","NURSERY TWO",146,1268
4817,"VERBAL REASONING",36,"VERBAL REASONING","NURSERY TWO",146,1268
4814,"ABC COLOURING",7271,"ABC COLOURING","NURSERY THREE",147,1269
4812,"CREATIVE ART",7272,"CREATIVE ART","NURSERY THREE",147,1269
4808,CRS,7273,CRS,"NURSERY THREE",147,1269
4819,"ENGLISH SKILLS",7274,"ENGLISH SKILLS","NURSERY THREE",147,1269
4813,"HAND WRITING",7275,"HAND WRITING","NURSERY THREE",147,1269
4810,"HEALTH HABIT",7276,"HEALTH HABIT","NURSERY THREE",147,1269
4811,"LETTER WORK",7277,"LETTER WORK","NURSERY THREE",147,1269
4804,"MATHEMATICS SKILL",7278,"MATHEMATICS SKILL","NURSERY THREE",147,1269
4806,"NUMBER WORK",7279,"NUMBER WORK","NURSERY THREE",147,1269
4815,PHONICS,46,PHONICS,"NURSERY THREE",147,1269
4818,"QUANTITATIVE REASONING",7280,"QUANTITATIVE REASONING","NURSERY THREE",147,1269
4816,RHYMES,7281,RHYMES,"NURSERY THREE",147,1269
4807,"SCIENCE HABIT",7282,"SCIENCE HABIT","NURSERY THREE",147,1269
4809,"SOCIAL HABIT",7283,"SOCIAL HABIT","NURSERY THREE",147,1269
4817,"VERBAL REASONING",51,"VERBAL REASONING","NURSERY THREE",147,1269
4824,"AGRICULTURAL SCIENCE",538,"AGRICULTURAL SCIENCE","BASIC ONE",148,1270
4823,"BASIC SCIENCE",53,"BASIC SCIENCE AND TECHNOLOGY","BASIC ONE",148,1270
4826,"BASIC TECHNOLOGY",826,"BASIC TECHNOLOGY","BASIC ONE",148,1270
4834,"CIVIC EDUCATION",63,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","BASIC ONE",148,1270
4832,"COMPUTER SCIENCE",539,"COMPUTER SCIENCE","BASIC ONE",148,1270
4836,"CREATIVE ARTS",55,"CULTURAL AND CREATIVE ARTS","BASIC ONE",148,1270
4838,CRK,7103,CRK/IRK,"BASIC ONE",148,1270
4820,"ENGLISH LANGUAGE",541,"ENGLISH LANGUAGE","BASIC ONE",148,1270
4828,"HAND WRITING",58,"HAND WRITING","BASIC ONE",148,1270
4829,HISTORY,646,HISTORY,"BASIC ONE",148,1270
4831,"HOME ECONOMICS",65,"PRE-VOCATIONAL STUDIES (HOME ECONOMICS AND AGRIC)","BASIC ONE",148,1270
4825,MATHEMATICS,62,MATHEMATICS,"BASIC ONE",148,1270
4835,PHE,744,"(B.SCI. B.TECH. PHE COM) BST","BASIC ONE",148,1270
4822,PHONICS,64,PHONICS,"BASIC ONE",148,1270
4827,"QUANTITATIVE REASONING",67,"QUANTITATIVE REASONING","BASIC ONE",148,1270
4839,"SECURITY EDUCATION",650,"SECURITY EDUCATION","BASIC ONE",148,1270
4833,"SOCIAL STUDIES",63,"NATIONAL VALUE (SOCIAL STUDIES AND CIVIC EDUCATION)","BASIC ONE",148,1270
4830,SPELLING,56,"ENGLISH STUDIES(R/COMP R/SPELLING/VOCAB)","BASIC ONE",148,1270
4821,"VERBAL REASONING",68,"VERBAL REASONING","BASIC ONE",148,1270
4824,"AGRICULTURAL SCIENCE",590,"AGRICULTURAL SCIENCE","BASIC FIVE",152,1271
4823,"BASIC SCIENCE",591,"BASIC SCIENCE","BASIC FIVE",152,1271
4826,"BASIC TECHNOLOGY",806,"BASIC TECHNOLOGY","BASIC FIVE",152,1271
4834,"CIVIC EDUCATION",593,"CIVIC EDUCATION","BASIC FIVE",152,1271
4832,"COMPUTER SCIENCE",595,"COMPUTER SCIENCE","BASIC FIVE",152,1271
4836,"CREATIVE ARTS",675,"CULTURAL AND CREATIVE ARTS","BASIC FIVE",152,1271
4838,CRK,7108,CRK/IRK,"BASIC FIVE",152,1271
4820,"ENGLISH LANGUAGE",597,"ENGLISH LANGUAGE","BASIC FIVE",152,1271
4828,"HAND WRITING",599,"HAND WRITING ","BASIC FIVE",152,1271
4829,HISTORY,679,HISTORY,"BASIC FIVE",152,1271
4831,"HOME ECONOMICS",601,"HOME ECONOMICS","BASIC FIVE",152,1271
4825,MATHEMATICS,603,MATHEMATICS,"BASIC FIVE",152,1271
4835,PHE,756,"(B.SCI. B.TECH. PHE COM) BST","BASIC FIVE",152,1271
4822,PHONICS,759,"PHONICS DICTATION","BASIC FIVE",152,1271
4827,"QUANTITATIVE REASONING",605,"QUANTITATIVE REASONING ","BASIC FIVE",152,1271
4839,"SECURITY EDUCATION",683,"SECURITY EDUCATION","BASIC FIVE",152,1271
